<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
ESCORTS_F3,10/03/2022,14:33:00,2061.30,2061.30,2061.25,2061.25,1101,4400
ESCORTS_F3,10/03/2022,15:16:00,2050.95,2050.95,2050.95,2050.95,550,4400
ESCORTS_F3,10/04/2022,09:16:00,2098.15,2098.15,2098.15,2098.15,551,4400
ESCORTS_F3,10/04/2022,13:46:00,2102.25,2102.25,2102.25,2102.25,550,4400
ESCORTS_F3,10/11/2022,10:00:00,2069.95,2069.95,2069.95,2069.95,551,4950
ESCORTS_F3,10/11/2022,11:43:00,2064.00,2064.00,2064.00,2064.00,550,4950
ESCORTS_F3,10/11/2022,12:33:00,2055.00,2055.00,2055.00,2055.00,550,4950
ESCORTS_F3,10/11/2022,12:40:00,2053.55,2053.55,2053.55,2053.55,550,5500
ESCORTS_F3,10/14/2022,09:15:00,2027.05,2027.05,2027.05,2027.05,1101,4950
ESCORTS_F3,10/17/2022,09:30:00,1931.30,1931.30,1931.30,1931.30,551,5500
ESCORTS_F3,10/17/2022,09:37:00,1959.20,1959.20,1959.20,1959.20,550,5500
ESCORTS_F3,10/17/2022,11:38:00,1959.20,1959.20,1959.20,1959.20,550,5500
ESCORTS_F3,10/18/2022,09:18:00,1970.00,1970.00,1970.00,1970.00,551,4950
ESCORTS_F3,10/18/2022,14:26:00,1970.00,1970.00,1970.00,1970.00,550,4950
ESCORTS_F3,10/20/2022,13:39:00,1958.95,1958.95,1958.95,1958.95,551,5500
ESCORTS_F3,10/20/2022,15:13:00,1974.60,1974.60,1974.60,1974.60,550,5500
ESCORTS_F3,10/21/2022,09:43:00,1974.60,1974.60,1974.60,1974.60,551,6050
ESCORTS_F3,10/21/2022,10:51:00,1984.15,1984.15,1984.15,1984.15,550,5500
ESCORTS_F3,10/25/2022,10:01:00,1997.60,1997.60,1997.60,1997.60,1101,6050
ESCORTS_F3,10/25/2022,10:20:00,2005.45,2005.45,2005.45,2005.45,550,6050
ESCORTS_F3,10/25/2022,10:23:00,2011.75,2011.75,2011.75,2011.75,550,6050
ESCORTS_F3,10/25/2022,13:51:00,2011.75,2011.75,2011.75,2011.75,550,6600
ESCORTS_F3,10/25/2022,14:47:00,1999.80,1999.80,1999.80,1999.80,550,7150
ESCORTS_F3,10/25/2022,15:17:00,1996.00,1996.00,1996.00,1996.00,1100,7700
ESCORTS_F3,10/27/2022,09:53:00,1992.30,1992.30,1990.10,1990.10,1101,8800
ESCORTS_F3,10/27/2022,10:03:00,1990.10,1990.10,1990.10,1990.10,550,9900
ESCORTS_F3,10/27/2022,12:57:00,1990.10,1990.10,1990.10,1990.10,550,10450
ESCORTS_F3,10/27/2022,13:14:00,2006.00,2006.00,2006.00,2006.00,550,11000
ESCORTS_F3,10/27/2022,14:55:00,2010.00,2010.00,2010.00,2010.00,550,11550
ESCORTS_F3,10/27/2022,15:12:00,2026.60,2026.60,2026.60,2026.60,550,11550
ESCORTS_F3,10/27/2022,15:27:00,2028.45,2028.45,2028.45,2028.45,550,12100
ESCORTS_F3,10/31/2022,12:04:00,2029.00,2029.00,2029.00,2029.00,276,0
ESCORTS_F3,10/31/2022,14:33:00,2040.00,2040.00,2040.00,2040.00,275,275
ESCORTS_F3,10/31/2022,15:21:00,2040.00,2040.00,2040.00,2040.00,275,550
