<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
INDUSTOWER_F1,10/03/2022,09:15:00,198.35,200.70,198.15,198.15,86803,14081200
INDUSTOWER_F1,10/03/2022,09:16:00,199.45,199.50,199.40,199.40,25200,14081200
INDUSTOWER_F1,10/03/2022,09:17:00,199.10,199.35,199.00,199.35,14000,14106400
INDUSTOWER_F1,10/03/2022,09:18:00,199.45,199.60,199.35,199.60,42000,14106400
INDUSTOWER_F1,10/03/2022,09:19:00,199.60,200.00,199.60,200.00,16800,14106400
INDUSTOWER_F1,10/03/2022,09:20:00,200.35,200.55,200.35,200.35,44800,14114800
INDUSTOWER_F1,10/03/2022,09:21:00,200.50,200.75,200.40,200.75,25200,14114800
INDUSTOWER_F1,10/03/2022,09:22:00,200.85,200.85,200.45,200.45,67200,14114800
INDUSTOWER_F1,10/03/2022,09:23:00,200.20,200.25,199.90,200.10,36400,14095200
INDUSTOWER_F1,10/03/2022,09:24:00,200.40,200.70,200.40,200.70,47600,14095200
INDUSTOWER_F1,10/03/2022,09:25:00,200.75,200.75,200.65,200.65,16800,14095200
INDUSTOWER_F1,10/03/2022,09:26:00,200.00,200.00,199.85,199.85,67200,14148400
INDUSTOWER_F1,10/03/2022,09:27:00,199.75,200.45,199.75,200.15,75600,14148400
INDUSTOWER_F1,10/03/2022,09:28:00,200.00,200.25,200.00,200.25,8400,14148400
INDUSTOWER_F1,10/03/2022,09:29:00,200.05,200.05,200.00,200.00,50400,14190400
INDUSTOWER_F1,10/03/2022,09:30:00,199.75,199.75,199.25,199.50,112000,14190400
INDUSTOWER_F1,10/03/2022,09:31:00,199.55,200.35,199.55,200.35,33600,14190400
INDUSTOWER_F1,10/03/2022,09:32:00,200.40,200.90,200.35,200.90,56000,14207200
INDUSTOWER_F1,10/03/2022,09:33:00,201.50,201.50,201.20,201.20,92400,14207200
INDUSTOWER_F1,10/03/2022,09:34:00,201.00,201.15,200.95,201.15,16800,14207200
INDUSTOWER_F1,10/03/2022,09:35:00,201.60,201.65,201.60,201.65,14000,14162400
INDUSTOWER_F1,10/03/2022,09:36:00,201.65,201.65,201.00,201.00,14000,14162400
INDUSTOWER_F1,10/03/2022,09:39:00,200.90,200.90,200.90,200.90,2800,14047600
INDUSTOWER_F1,10/03/2022,09:40:00,200.30,200.30,200.00,200.25,22400,14047600
INDUSTOWER_F1,10/03/2022,09:41:00,199.90,200.00,199.90,200.00,8400,14047600
INDUSTOWER_F1,10/03/2022,09:42:00,199.80,199.80,199.55,199.80,11200,14056000
INDUSTOWER_F1,10/03/2022,09:43:00,200.10,200.15,199.90,200.15,11200,14056000
INDUSTOWER_F1,10/03/2022,09:45:00,199.95,199.95,199.95,199.95,11200,13994400
INDUSTOWER_F1,10/03/2022,09:46:00,200.45,200.50,200.45,200.50,14000,13994400
INDUSTOWER_F1,10/03/2022,09:48:00,200.95,200.95,200.95,200.95,5600,13994400
INDUSTOWER_F1,10/03/2022,09:49:00,200.80,200.80,200.60,200.60,19600,13994400
INDUSTOWER_F1,10/03/2022,09:50:00,200.80,200.95,200.80,200.95,22400,13994400
INDUSTOWER_F1,10/03/2022,09:51:00,200.95,200.95,200.95,200.95,5600,14005600
INDUSTOWER_F1,10/03/2022,09:53:00,201.15,201.15,201.15,201.15,2800,14005600
INDUSTOWER_F1,10/03/2022,09:54:00,200.75,201.00,200.55,201.00,39200,14005600
INDUSTOWER_F1,10/03/2022,09:55:00,201.00,201.05,200.55,201.05,53200,14005600
INDUSTOWER_F1,10/03/2022,09:57:00,200.75,201.10,200.75,201.10,19600,14030800
INDUSTOWER_F1,10/03/2022,09:58:00,201.20,201.20,201.20,201.20,5600,14030800
INDUSTOWER_F1,10/03/2022,09:59:00,201.35,202.35,201.35,202.35,184800,14044800
INDUSTOWER_F1,10/03/2022,10:00:00,201.60,201.85,201.10,201.10,165200,14044800
INDUSTOWER_F1,10/03/2022,10:01:00,200.85,201.00,200.45,200.90,168000,14044800
INDUSTOWER_F1,10/03/2022,10:02:00,201.00,201.00,200.20,200.20,226800,14120400
INDUSTOWER_F1,10/03/2022,10:03:00,200.15,200.75,200.15,200.75,126000,14120400
INDUSTOWER_F1,10/03/2022,10:04:00,200.95,200.95,200.50,200.70,28000,14120400
