<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
MFSL_F2,10/03/2022,09:47:00,761.85,761.85,761.85,761.85,651,15600
MFSL_F2,10/03/2022,11:00:00,759.20,759.20,759.20,759.20,1950,15600
MFSL_F2,10/03/2022,12:26:00,761.85,761.85,761.85,761.85,1300,16900
MFSL_F2,10/03/2022,12:27:00,761.85,761.85,761.85,761.85,1300,17550
MFSL_F2,10/03/2022,13:51:00,763.35,763.35,763.35,763.35,1300,17550
MFSL_F2,10/03/2022,14:56:00,754.90,754.90,754.90,754.90,650,18200
MFSL_F2,10/03/2022,15:04:00,754.90,754.90,754.90,754.90,650,18850
MFSL_F2,10/03/2022,15:26:00,757.15,757.15,757.15,757.15,1950,18850
MFSL_F2,10/04/2022,09:38:00,772.00,772.00,772.00,772.00,651,18850
MFSL_F2,10/04/2022,11:22:00,773.10,773.10,773.10,773.10,650,18200
MFSL_F2,10/04/2022,14:04:00,773.65,773.65,773.65,773.65,650,18200
MFSL_F2,10/06/2022,10:16:00,778.00,778.00,778.00,778.00,651,18200
MFSL_F2,10/06/2022,10:40:00,774.00,774.00,774.00,774.00,650,18200
MFSL_F2,10/06/2022,10:46:00,774.00,774.00,774.00,774.00,650,17550
MFSL_F2,10/06/2022,14:24:00,774.00,774.00,774.00,774.00,650,18200
MFSL_F2,10/06/2022,15:20:00,773.90,773.90,773.90,773.90,650,18200
MFSL_F2,10/07/2022,09:40:00,767.00,767.00,767.00,767.00,651,18850
MFSL_F2,10/07/2022,10:00:00,774.35,774.35,774.35,774.35,650,18850
MFSL_F2,10/07/2022,15:07:00,775.00,775.00,775.00,775.00,1300,19500
MFSL_F2,10/10/2022,10:53:00,764.50,764.50,764.50,764.50,651,18850
MFSL_F2,10/10/2022,11:01:00,764.20,764.20,764.20,764.20,650,19500
MFSL_F2,10/10/2022,13:20:00,761.60,761.60,761.60,761.60,650,20150
MFSL_F2,10/10/2022,13:22:00,760.80,760.80,760.80,760.80,650,20800
MFSL_F2,10/10/2022,14:02:00,760.80,760.80,760.80,760.80,650,20800
MFSL_F2,10/11/2022,09:57:00,758.05,758.05,758.00,758.00,1301,20150
MFSL_F2,10/11/2022,10:21:00,756.05,756.05,756.05,756.05,650,20150
MFSL_F2,10/11/2022,10:33:00,756.00,756.00,756.00,756.00,650,20150
MFSL_F2,10/11/2022,10:46:00,753.25,753.25,753.25,753.25,650,20800
MFSL_F2,10/11/2022,10:50:00,750.90,750.90,750.90,750.90,650,21450
MFSL_F2,10/11/2022,10:55:00,750.00,750.00,750.00,750.00,650,21450
MFSL_F2,10/11/2022,11:00:00,750.00,750.00,750.00,750.00,650,21450
MFSL_F2,10/11/2022,11:18:00,749.75,749.75,749.75,749.75,650,21450
MFSL_F2,10/11/2022,11:28:00,749.75,749.75,749.75,749.75,650,22100
MFSL_F2,10/11/2022,11:32:00,752.90,752.90,752.90,752.90,650,22750
MFSL_F2,10/11/2022,12:03:00,753.95,753.95,753.95,753.95,650,23400
MFSL_F2,10/11/2022,12:10:00,753.90,753.90,753.90,753.90,650,24050
MFSL_F2,10/11/2022,12:14:00,752.65,752.65,752.65,752.65,650,24700
MFSL_F2,10/11/2022,12:25:00,753.15,753.15,753.15,753.15,650,25350
MFSL_F2,10/11/2022,12:46:00,752.00,752.00,752.00,752.00,650,26000
MFSL_F2,10/11/2022,13:11:00,755.30,755.30,755.30,755.30,650,26000
MFSL_F2,10/11/2022,14:40:00,756.25,756.25,756.25,756.25,650,26650
MFSL_F2,10/11/2022,14:48:00,754.10,754.10,754.10,754.10,650,26000
MFSL_F2,10/11/2022,14:51:00,752.75,752.75,752.75,752.75,1300,25350
MFSL_F2,10/11/2022,15:02:00,752.75,752.75,752.75,752.75,1300,25350
MFSL_F2,10/11/2022,15:14:00,752.75,752.75,752.75,752.75,650,25350
MFSL_F2,10/11/2022,15:19:00,753.40,753.40,753.40,753.40,650,25350
