<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
RECLTD_F2,10/03/2022,09:15:00,94.00,94.00,94.00,94.00,8001,1616000
RECLTD_F2,10/03/2022,09:25:00,94.25,94.25,94.25,94.25,24000,1616000
RECLTD_F2,10/03/2022,09:26:00,93.95,93.95,93.95,93.95,16000,1608000
RECLTD_F2,10/03/2022,09:29:00,93.85,93.85,93.85,93.85,8000,1608000
RECLTD_F2,10/03/2022,09:30:00,93.70,93.70,93.70,93.70,8000,1632000
RECLTD_F2,10/03/2022,09:34:00,93.70,93.70,93.70,93.70,8000,1640000
RECLTD_F2,10/03/2022,09:45:00,93.65,93.65,93.65,93.65,16000,1648000
RECLTD_F2,10/03/2022,09:46:00,93.65,93.65,93.65,93.65,8000,1648000
RECLTD_F2,10/03/2022,09:49:00,93.85,93.85,93.85,93.85,8000,1640000
RECLTD_F2,10/03/2022,10:00:00,93.80,93.80,93.80,93.80,8000,1648000
RECLTD_F2,10/03/2022,10:08:00,93.65,93.65,93.65,93.65,16000,1648000
RECLTD_F2,10/03/2022,10:11:00,93.60,93.60,93.60,93.60,16000,1648000
RECLTD_F2,10/03/2022,10:25:00,93.60,93.60,93.60,93.60,8000,1664000
RECLTD_F2,10/03/2022,10:37:00,93.55,93.55,93.55,93.55,8000,1664000
RECLTD_F2,10/03/2022,10:39:00,93.55,93.55,93.55,93.55,16000,1664000
RECLTD_F2,10/03/2022,11:02:00,93.45,93.45,93.45,93.45,8000,1664000
RECLTD_F2,10/03/2022,11:04:00,93.45,93.45,93.45,93.45,8000,1672000
RECLTD_F2,10/03/2022,11:17:00,93.45,93.45,93.45,93.45,8000,1664000
RECLTD_F2,10/03/2022,11:22:00,93.80,93.80,93.80,93.80,8000,1672000
RECLTD_F2,10/03/2022,12:00:00,93.55,93.55,93.55,93.55,16000,1672000
RECLTD_F2,10/03/2022,12:03:00,93.50,93.50,93.50,93.50,8000,1680000
RECLTD_F2,10/03/2022,12:09:00,93.50,93.50,93.45,93.45,32000,1688000
RECLTD_F2,10/03/2022,12:12:00,93.45,93.45,93.45,93.45,24000,1720000
RECLTD_F2,10/03/2022,12:16:00,93.30,93.30,93.30,93.30,16000,1744000
RECLTD_F2,10/03/2022,12:17:00,93.30,93.45,93.30,93.45,16000,1744000
RECLTD_F2,10/03/2022,12:29:00,93.55,93.55,93.55,93.55,16000,1760000
RECLTD_F2,10/03/2022,12:31:00,93.45,93.45,93.45,93.45,8000,1752000
RECLTD_F2,10/03/2022,12:55:00,93.50,93.50,93.50,93.50,8000,1760000
RECLTD_F2,10/03/2022,13:04:00,93.50,93.50,93.50,93.50,8000,1760000
RECLTD_F2,10/03/2022,13:06:00,93.35,93.35,93.35,93.35,8000,1768000
RECLTD_F2,10/03/2022,13:11:00,93.40,93.40,93.40,93.40,8000,1776000
RECLTD_F2,10/03/2022,13:20:00,93.45,93.45,93.45,93.45,8000,1768000
RECLTD_F2,10/03/2022,13:45:00,93.25,93.25,93.25,93.25,8000,1776000
RECLTD_F2,10/03/2022,13:48:00,93.10,93.10,93.10,93.10,8000,1784000
RECLTD_F2,10/03/2022,13:50:00,92.90,92.90,92.90,92.90,24000,1784000
RECLTD_F2,10/03/2022,13:51:00,92.90,92.90,92.90,92.90,8000,1784000
RECLTD_F2,10/03/2022,13:57:00,92.95,92.95,92.95,92.95,8000,1792000
RECLTD_F2,10/03/2022,13:59:00,92.95,92.95,92.95,92.95,8000,1800000
RECLTD_F2,10/03/2022,14:01:00,92.75,92.75,92.75,92.75,8000,1800000
RECLTD_F2,10/03/2022,14:03:00,92.70,92.70,92.70,92.70,8000,1808000
