<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
TORNTPHARM_F2,10/03/2022,09:33:00,1584.00,1584.00,1584.00,1584.00,501,2500
TORNTPHARM_F2,10/03/2022,12:34:00,1598.00,1598.00,1598.00,1598.00,500,2500
TORNTPHARM_F2,10/03/2022,14:53:00,1598.00,1598.00,1598.00,1598.00,500,3000
TORNTPHARM_F2,10/04/2022,13:50:00,1609.80,1609.80,1609.80,1609.80,501,3500
TORNTPHARM_F2,10/06/2022,12:20:00,1626.00,1626.00,1626.00,1626.00,501,4000
TORNTPHARM_F2,10/06/2022,12:29:00,1626.45,1626.45,1626.45,1626.45,500,4000
TORNTPHARM_F2,10/06/2022,12:34:00,1626.45,1626.45,1626.45,1626.45,500,4500
TORNTPHARM_F2,10/06/2022,13:30:00,1616.35,1616.35,1616.35,1616.35,500,5000
TORNTPHARM_F2,10/06/2022,14:01:00,1616.35,1616.35,1616.35,1616.35,1500,5500
TORNTPHARM_F2,10/06/2022,15:11:00,1616.35,1616.35,1616.35,1616.35,500,7000
TORNTPHARM_F2,10/06/2022,15:12:00,1612.50,1612.50,1612.50,1612.50,500,7000
TORNTPHARM_F2,10/07/2022,09:31:00,1597.15,1597.15,1597.15,1597.15,501,7000
TORNTPHARM_F2,10/07/2022,09:36:00,1596.25,1596.25,1596.25,1596.25,500,7500
TORNTPHARM_F2,10/07/2022,11:20:00,1596.25,1596.25,1596.25,1596.25,500,8000
TORNTPHARM_F2,10/07/2022,11:29:00,1614.10,1614.10,1614.10,1614.10,500,8000
TORNTPHARM_F2,10/07/2022,11:37:00,1620.90,1620.90,1620.90,1620.90,500,8500
TORNTPHARM_F2,10/07/2022,14:02:00,1620.90,1620.90,1620.90,1620.90,500,8500
TORNTPHARM_F2,10/07/2022,14:04:00,1588.30,1588.30,1588.30,1588.30,500,8000
TORNTPHARM_F2,10/07/2022,14:15:00,1583.90,1583.90,1580.00,1580.00,1000,9000
TORNTPHARM_F2,10/07/2022,15:24:00,1580.00,1580.00,1580.00,1580.00,500,8500
TORNTPHARM_F2,10/10/2022,09:29:00,1584.00,1584.00,1584.00,1584.00,501,8000
TORNTPHARM_F2,10/10/2022,09:39:00,1575.50,1575.50,1575.50,1575.50,500,7500
TORNTPHARM_F2,10/10/2022,09:50:00,1575.00,1575.00,1575.00,1575.00,500,8000
TORNTPHARM_F2,10/10/2022,09:58:00,1570.30,1570.30,1570.30,1570.30,500,8500
TORNTPHARM_F2,10/10/2022,09:59:00,1566.30,1566.95,1566.30,1566.95,1500,8500
TORNTPHARM_F2,10/10/2022,10:05:00,1569.60,1569.60,1569.60,1569.60,500,10500
TORNTPHARM_F2,10/10/2022,10:13:00,1569.05,1569.05,1569.05,1569.05,500,11000
TORNTPHARM_F2,10/10/2022,10:36:00,1567.70,1567.70,1567.70,1567.70,500,11500
TORNTPHARM_F2,10/10/2022,10:44:00,1568.00,1568.00,1568.00,1568.00,500,12000
TORNTPHARM_F2,10/10/2022,10:53:00,1571.60,1571.60,1571.60,1571.60,500,12500
TORNTPHARM_F2,10/10/2022,11:12:00,1575.10,1575.10,1575.10,1575.10,500,12500
TORNTPHARM_F2,10/10/2022,13:34:00,1580.50,1580.50,1580.50,1580.50,500,12500
TORNTPHARM_F2,10/10/2022,14:53:00,1596.00,1596.00,1596.00,1596.00,500,12500
TORNTPHARM_F2,10/11/2022,15:29:00,1601.05,1601.05,1601.05,1601.05,500,12500
TORNTPHARM_F2,10/12/2022,09:24:00,1601.10,1601.10,1601.10,1601.10,501,12000
TORNTPHARM_F2,10/12/2022,09:31:00,1603.10,1603.10,1603.10,1603.10,500,12000
TORNTPHARM_F2,10/12/2022,09:46:00,1611.55,1611.55,1611.55,1611.55,500,12500
TORNTPHARM_F2,10/12/2022,09:57:00,1611.55,1611.55,1611.55,1611.55,500,12500
TORNTPHARM_F2,10/12/2022,10:58:00,1603.00,1603.00,1603.00,1603.00,500,12500
TORNTPHARM_F2,10/12/2022,12:30:00,1619.05,1619.05,1619.05,1619.05,500,13000
TORNTPHARM_F2,10/12/2022,12:44:00,1619.05,1619.05,1619.05,1619.05,500,13000
TORNTPHARM_F2,10/12/2022,12:48:00,1596.80,1596.80,1596.80,1596.80,1000,13000
TORNTPHARM_F2,10/12/2022,13:34:00,1596.80,1596.80,1596.80,1596.80,500,13000
