<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
ZEEL_F3,10/03/2022,09:15:00,261.65,261.65,261.65,261.65,3001,9000
ZEEL_F3,10/03/2022,09:21:00,265.95,265.95,265.95,265.95,3000,12000
ZEEL_F3,10/03/2022,11:33:00,265.95,265.95,265.95,265.95,3000,15000
ZEEL_F3,10/03/2022,12:41:00,260.00,260.00,260.00,260.00,3000,18000
ZEEL_F3,10/03/2022,13:03:00,260.00,260.00,260.00,260.00,3000,18000
ZEEL_F3,10/03/2022,13:09:00,259.60,259.60,259.60,259.60,3000,18000
ZEEL_F3,10/03/2022,14:03:00,257.90,257.90,257.90,257.90,3000,18000
ZEEL_F3,10/03/2022,14:43:00,255.00,255.00,255.00,255.00,3000,18000
ZEEL_F3,10/03/2022,15:23:00,255.00,255.00,255.00,255.00,3000,18000
ZEEL_F3,10/04/2022,10:34:00,261.50,261.50,261.50,261.50,3001,18000
ZEEL_F3,10/04/2022,12:20:00,261.45,261.45,261.45,261.45,3000,15000
ZEEL_F3,10/04/2022,12:44:00,261.45,261.45,261.45,261.45,9000,18000
ZEEL_F3,10/04/2022,14:10:00,267.60,267.60,267.60,267.60,3000,27000
ZEEL_F3,10/04/2022,14:14:00,268.15,268.15,268.15,268.15,3000,30000
ZEEL_F3,10/04/2022,15:19:00,271.95,271.95,271.95,271.95,3000,33000
ZEEL_F3,10/04/2022,15:29:00,273.70,273.70,273.70,273.70,3000,36000
ZEEL_F3,10/06/2022,09:16:00,283.55,283.55,283.55,283.55,3001,39000
ZEEL_F3,10/06/2022,09:17:00,285.00,285.00,285.00,285.00,3000,39000
ZEEL_F3,10/06/2022,09:19:00,285.00,285.00,285.00,285.00,3000,39000
ZEEL_F3,10/06/2022,09:31:00,278.30,278.30,278.30,278.30,3000,39000
ZEEL_F3,10/06/2022,09:37:00,279.05,279.05,279.05,279.05,3000,39000
ZEEL_F3,10/06/2022,09:48:00,280.80,280.80,280.80,280.80,3000,39000
ZEEL_F3,10/06/2022,09:49:00,280.80,280.80,280.75,280.75,6000,39000
ZEEL_F3,10/06/2022,09:58:00,288.00,288.00,288.00,288.00,3000,45000
ZEEL_F3,10/06/2022,10:00:00,289.70,289.70,289.70,289.70,3000,45000
ZEEL_F3,10/06/2022,10:19:00,289.70,289.70,289.70,289.70,3000,48000
ZEEL_F3,10/06/2022,10:55:00,286.50,286.50,286.50,286.50,3000,48000
ZEEL_F3,10/06/2022,11:14:00,287.00,287.00,287.00,287.00,6000,51000
ZEEL_F3,10/06/2022,11:36:00,285.75,285.75,285.75,285.75,3000,51000
ZEEL_F3,10/06/2022,12:07:00,285.85,285.85,285.85,285.85,6000,48000
ZEEL_F3,10/06/2022,12:25:00,283.60,283.60,283.60,283.60,3000,54000
ZEEL_F3,10/06/2022,12:41:00,282.00,282.00,282.00,282.00,3000,54000
ZEEL_F3,10/06/2022,12:42:00,281.60,281.60,281.60,281.60,3000,54000
ZEEL_F3,10/06/2022,12:46:00,281.25,281.25,281.25,281.25,3000,54000
ZEEL_F3,10/06/2022,12:52:00,280.85,280.85,280.80,280.80,6000,57000
ZEEL_F3,10/06/2022,13:41:00,282.60,282.60,282.60,282.60,3000,60000
ZEEL_F3,10/06/2022,14:01:00,281.20,281.20,281.20,281.20,3000,63000
ZEEL_F3,10/06/2022,14:04:00,280.80,280.80,280.80,280.80,3000,63000
ZEEL_F3,10/06/2022,14:05:00,281.00,281.00,281.00,281.00,3000,63000
ZEEL_F3,10/06/2022,14:34:00,284.15,284.15,284.15,284.15,12000,66000
ZEEL_F3,10/06/2022,14:35:00,285.00,285.00,285.00,285.00,3000,66000
ZEEL_F3,10/06/2022,14:47:00,284.45,284.45,284.45,284.45,3000,78000
ZEEL_F3,10/06/2022,15:01:00,283.65,283.65,283.65,283.65,3000,81000
ZEEL_F3,10/06/2022,15:20:00,283.75,283.75,283.75,283.75,3000,84000
ZEEL_F3,10/06/2022,15:28:00,283.50,283.50,283.50,283.50,3000,87000
ZEEL_F3,10/06/2022,15:29:00,283.75,283.75,283.75,283.75,3000,87000
ZEEL_F3,10/07/2022,09:19:00,284.50,284.50,284.50,284.50,3001,90000
ZEEL_F3,10/07/2022,09:27:00,284.40,284.40,284.40,284.40,3000,93000
ZEEL_F3,10/07/2022,09:32:00,282.10,282.10,282.10,282.10,6000,93000
ZEEL_F3,10/07/2022,09:36:00,282.10,282.10,282.10,282.10,3000,96000
ZEEL_F3,10/07/2022,09:41:00,282.10,282.10,282.10,282.10,3000,99000
ZEEL_F3,10/07/2022,09:43:00,282.10,282.10,282.10,282.10,3000,99000
ZEEL_F3,10/07/2022,10:27:00,282.10,282.10,282.10,282.10,3000,99000
ZEEL_F3,10/07/2022,11:23:00,282.25,282.25,282.25,282.25,3000,99000
ZEEL_F3,10/07/2022,11:25:00,281.75,281.75,281.75,281.75,3000,96000
ZEEL_F3,10/07/2022,12:38:00,281.75,285.10,281.75,285.10,9000,96000
ZEEL_F3,10/07/2022,12:49:00,286.00,286.00,286.00,286.00,3000,102000
ZEEL_F3,10/07/2022,12:50:00,286.35,286.35,286.35,286.35,3000,102000
ZEEL_F3,10/07/2022,13:00:00,286.35,286.35,286.35,286.35,3000,105000
ZEEL_F3,10/07/2022,13:01:00,285.85,285.85,285.85,285.85,3000,105000
ZEEL_F3,10/07/2022,13:33:00,284.85,284.85,284.85,284.85,3000,102000
ZEEL_F3,10/07/2022,13:53:00,286.00,286.00,286.00,286.00,3000,99000
ZEEL_F3,10/07/2022,15:04:00,285.75,285.75,285.75,285.75,3000,102000
ZEEL_F3,10/07/2022,15:06:00,285.50,285.50,285.50,285.50,3000,102000
ZEEL_F3,10/07/2022,15:26:00,285.60,285.60,285.60,285.60,3000,99000
ZEEL_F3,10/10/2022,09:41:00,284.65,284.65,284.65,284.65,3001,102000
ZEEL_F3,10/10/2022,11:04:00,284.85,284.85,284.85,284.85,6000,99000
ZEEL_F3,10/10/2022,11:17:00,286.00,286.00,286.00,286.00,3000,105000
ZEEL_F3,10/10/2022,11:32:00,286.00,286.00,286.00,286.00,3000,108000
ZEEL_F3,10/10/2022,11:48:00,283.45,283.45,283.45,283.45,3000,108000
ZEEL_F3,10/10/2022,12:05:00,283.45,283.45,283.45,283.45,3000,108000
ZEEL_F3,10/10/2022,12:43:00,283.55,283.55,283.55,283.55,3000,111000
ZEEL_F3,10/10/2022,12:44:00,283.55,283.55,283.55,283.55,3000,111000
ZEEL_F3,10/10/2022,13:16:00,283.25,283.25,283.25,283.25,3000,114000
ZEEL_F3,10/10/2022,13:36:00,281.10,281.10,281.10,281.10,3000,117000
ZEEL_F3,10/10/2022,13:54:00,281.10,281.10,281.10,281.10,3000,120000
ZEEL_F3,10/10/2022,13:56:00,280.80,280.80,280.80,280.80,6000,120000
ZEEL_F3,10/10/2022,14:24:00,280.50,280.50,280.50,280.50,3000,120000
ZEEL_F3,10/10/2022,14:45:00,280.50,280.50,280.50,280.50,3000,120000
ZEEL_F3,10/10/2022,14:48:00,281.95,281.95,281.95,281.95,3000,120000
ZEEL_F3,10/11/2022,09:28:00,281.00,281.00,281.00,281.00,3001,120000
ZEEL_F3,10/11/2022,09:47:00,279.65,279.65,279.65,279.65,3000,123000
ZEEL_F3,10/11/2022,09:51:00,279.25,279.25,279.25,279.25,3000,123000
ZEEL_F3,10/11/2022,10:10:00,278.00,278.00,278.00,278.00,3000,123000
ZEEL_F3,10/11/2022,10:14:00,278.00,278.00,278.00,278.00,3000,120000
ZEEL_F3,10/11/2022,10:22:00,278.80,278.80,278.80,278.80,3000,120000
ZEEL_F3,10/11/2022,10:35:00,278.50,278.50,278.50,278.50,3000,123000
ZEEL_F3,10/11/2022,10:55:00,278.95,278.95,278.95,278.95,3000,126000
ZEEL_F3,10/11/2022,11:27:00,278.95,278.95,278.95,278.95,6000,126000
ZEEL_F3,10/11/2022,11:48:00,278.45,278.45,278.45,278.45,3000,126000
ZEEL_F3,10/11/2022,12:08:00,280.00,280.00,280.00,280.00,3000,126000
ZEEL_F3,10/11/2022,13:25:00,277.15,277.15,277.15,277.15,6000,126000
ZEEL_F3,10/11/2022,13:49:00,277.15,277.15,277.15,277.15,3000,129000
ZEEL_F3,10/11/2022,14:19:00,278.00,278.00,278.00,278.00,3000,129000
ZEEL_F3,10/11/2022,15:10:00,277.35,277.35,277.35,277.35,6000,132000
ZEEL_F3,10/11/2022,15:15:00,274.80,274.80,274.80,274.80,15000,126000
ZEEL_F3,10/11/2022,15:16:00,274.80,274.80,274.80,274.80,3000,126000
ZEEL_F3,10/11/2022,15:25:00,274.15,274.15,274.15,274.15,3000,126000
ZEEL_F3,10/11/2022,15:29:00,274.15,274.15,274.15,274.15,3000,129000
ZEEL_F3,10/12/2022,09:15:00,274.45,274.45,274.45,274.45,3001,126000
ZEEL_F3,10/12/2022,09:19:00,273.00,273.00,273.00,273.00,3000,126000
ZEEL_F3,10/12/2022,09:20:00,271.90,271.90,271.90,271.90,3000,126000
ZEEL_F3,10/12/2022,09:21:00,269.25,269.25,269.25,269.25,12000,126000
ZEEL_F3,10/12/2022,09:22:00,268.75,268.75,268.75,268.75,3000,126000
ZEEL_F3,10/12/2022,09:40:00,268.75,268.75,268.75,268.75,3000,135000
ZEEL_F3,10/12/2022,10:15:00,270.00,270.00,270.00,270.00,3000,132000
ZEEL_F3,10/12/2022,10:39:00,268.75,268.75,268.75,268.75,6000,132000
ZEEL_F3,10/12/2022,10:59:00,266.85,266.85,266.85,266.85,3000,138000
ZEEL_F3,10/12/2022,11:10:00,266.00,266.00,266.00,266.00,3000,141000
ZEEL_F3,10/12/2022,12:01:00,266.00,266.00,266.00,266.00,3000,144000
ZEEL_F3,10/12/2022,12:19:00,269.60,269.60,269.60,269.60,3000,147000
ZEEL_F3,10/12/2022,12:34:00,269.60,269.60,269.60,269.60,3000,147000
