<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> 
DIVISLAB_F2,03-10-2023,09:15:00,3770.0,3770.0,3770.0,3770.0,201,41800
DIVISLAB_F2,03-10-2023,09:17:00,3776.8501,3776.8501,3776.8501,3776.8501,800,41800
DIVISLAB_F2,03-10-2023,09:18:00,3774.6001,3774.6001,3773.1499,3773.1499,400,41800
DIVISLAB_F2,03-10-2023,09:20:00,3777.6001,3777.6001,3777.6001,3777.6001,200,41800
DIVISLAB_F2,03-10-2023,09:30:00,3777.6001,3777.6001,3777.6001,3777.6001,200,42000
DIVISLAB_F2,03-10-2023,09:42:00,3758.75,3758.75,3758.75,3758.75,200,42200
DIVISLAB_F2,03-10-2023,09:47:00,3758.75,3758.75,3758.75,3758.75,200,42000
DIVISLAB_F2,03-10-2023,09:50:00,3765.1001,3765.1001,3765.1001,3765.1001,200,42000
DIVISLAB_F2,03-10-2023,10:09:00,3755.0,3755.0,3755.0,3755.0,400,42200
DIVISLAB_F2,03-10-2023,10:12:00,3751.05,3751.05,3751.05,3751.05,200,42200
DIVISLAB_F2,03-10-2023,10:13:00,3750.0,3750.0,3750.0,3750.0,800,42200
DIVISLAB_F2,03-10-2023,10:25:00,3750.0,3750.0,3750.0,3750.0,200,42600
DIVISLAB_F2,03-10-2023,10:26:00,3771.0,3771.0,3771.0,3771.0,1400,42600
DIVISLAB_F2,03-10-2023,10:28:00,3774.2,3774.2,3772.7,3772.7,800,42600
DIVISLAB_F2,03-10-2023,10:33:00,3760.8501,3761.0,3760.05,3761.0,600,43000
DIVISLAB_F2,03-10-2023,10:34:00,3759.5,3759.5,3759.5,3759.5,600,43000
DIVISLAB_F2,03-10-2023,10:45:00,3761.45,3761.45,3761.45,3761.45,200,43600
DIVISLAB_F2,03-10-2023,11:05:00,3779.5,3779.5,3779.5,3779.5,200,43600
DIVISLAB_F2,03-10-2023,11:07:00,3785.8999,3785.8999,3785.8999,3785.8999,200,43800
DIVISLAB_F2,03-10-2023,11:19:00,3787.45,3787.45,3787.45,3787.45,200,43800
DIVISLAB_F2,03-10-2023,12:38:00,3787.45,3787.45,3787.45,3787.45,200,43800
DIVISLAB_F2,03-10-2023,12:47:00,3785.0,3785.0,3785.0,3785.0,200,43800
DIVISLAB_F2,03-10-2023,13:31:00,3794.8501,3794.8501,3794.8501,3794.8501,200,44000
DIVISLAB_F2,03-10-2023,13:38:00,3794.8501,3794.8501,3794.8501,3794.8501,200,44200
DIVISLAB_F2,03-10-2023,14:03:00,3777.6499,3777.6499,3777.6499,3777.6499,200,44400
DIVISLAB_F2,03-10-2023,14:10:00,3775.45,3775.45,3775.45,3775.45,200,44600
DIVISLAB_F2,03-10-2023,14:15:00,3775.95,3775.95,3775.95,3775.95,200,44800
DIVISLAB_F2,03-10-2023,14:17:00,3773.7,3773.7,3773.7,3773.7,200,44800
DIVISLAB_F2,03-10-2023,14:18:00,3773.75,3773.75,3773.75,3773.75,200,45200
DIVISLAB_F2,03-10-2023,14:41:00,3774.75,3774.75,3774.75,3774.75,200,45400
DIVISLAB_F2,03-10-2023,14:47:00,3769.05,3769.05,3769.05,3769.05,200,45400
DIVISLAB_F2,03-10-2023,15:00:00,3764.8,3769.1001,3764.8,3769.1001,400,45600
DIVISLAB_F2,03-10-2023,15:01:00,3769.45,3769.45,3769.45,3769.45,200,45600
DIVISLAB_F2,03-10-2023,15:02:00,3770.0,3770.0,3770.0,3770.0,200,45600
DIVISLAB_F2,03-10-2023,15:03:00,3768.6001,3768.6001,3768.6001,3768.6001,200,46000
DIVISLAB_F2,03-10-2023,15:06:00,3764.2,3764.2,3764.2,3764.2,200,46000
DIVISLAB_F2,03-10-2023,15:07:00,3762.75,3762.75,3762.75,3762.75,200,46200
DIVISLAB_F2,03-10-2023,15:08:00,3760.0,3760.0,3760.0,3760.0,200,46200
DIVISLAB_F2,03-10-2023,15:09:00,3760.6001,3760.6001,3760.6001,3760.6001,200,46200
DIVISLAB_F2,03-10-2023,15:10:00,3760.5,3760.5,3760.5,3760.5,200,46200
DIVISLAB_F2,03-10-2023,15:18:00,3760.0,3760.0,3760.0,3760.0,200,46400
DIVISLAB_F2,03-10-2023,15:21:00,3765.75,3765.75,3765.75,3765.75,200,46600
DIVISLAB_F2,03-10-2023,15:22:00,3764.5,3764.5,3764.5,3764.5,200,46600
DIVISLAB_F2,03-10-2023,15:23:00,3763.0,3763.0,3763.0,3763.0,200,46600
DIVISLAB_F2,03-10-2023,15:24:00,3760.6001,3760.6001,3759.25,3759.25,400,47200
