<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> 
DLF_F2,03-10-2023,09:15:00,536.35,536.55,535.55,535.55,13202,343200
DLF_F2,03-10-2023,09:16:00,536.0,536.0,536.0,536.0,1650,343200
DLF_F2,03-10-2023,09:21:00,537.4,537.4,537.4,537.4,1650,349800
DLF_F2,03-10-2023,09:22:00,538.0,538.1,538.0,538.1,3300,349800
DLF_F2,03-10-2023,09:23:00,538.1,538.45,538.1,538.45,8250,349800
DLF_F2,03-10-2023,09:24:00,538.0,538.0,538.0,538.0,1650,349800
DLF_F2,03-10-2023,09:28:00,538.5,538.75,538.5,538.75,3300,358050
DLF_F2,03-10-2023,09:29:00,538.9,539.0,538.9,539.0,8250,363000
DLF_F2,03-10-2023,09:31:00,539.5,539.5,539.5,539.5,1650,363000
DLF_F2,03-10-2023,09:35:00,540.2,540.2,540.2,540.2,3300,364650
DLF_F2,03-10-2023,09:36:00,540.0,540.0,540.0,540.0,1650,364650
DLF_F2,03-10-2023,09:38:00,539.0,539.0,539.0,539.0,1650,364650
DLF_F2,03-10-2023,09:41:00,537.5,537.5,537.5,537.5,1650,366300
DLF_F2,03-10-2023,09:42:00,537.1,537.1,537.0,537.0,3300,366300
DLF_F2,03-10-2023,09:45:00,537.0,537.0,537.0,537.0,3300,369600
DLF_F2,03-10-2023,09:54:00,537.0,537.0,537.0,537.0,4950,367950
DLF_F2,03-10-2023,10:08:00,537.0,537.0,537.0,537.0,1650,371250
DLF_F2,03-10-2023,10:22:00,538.1,538.1,538.1,538.1,1650,371250
DLF_F2,03-10-2023,10:23:00,538.2,538.2,538.2,538.2,1650,371250
DLF_F2,03-10-2023,10:27:00,538.7,538.7,538.7,538.7,1650,371250
DLF_F2,03-10-2023,11:05:00,538.7,538.7,538.7,538.7,1650,369600
DLF_F2,03-10-2023,11:08:00,539.5,539.5,539.5,539.5,1650,367950
DLF_F2,03-10-2023,11:26:00,539.45,539.45,539.45,539.45,1650,369600
DLF_F2,03-10-2023,11:36:00,538.15,538.15,538.15,538.15,3300,369600
DLF_F2,03-10-2023,11:49:00,537.65,537.65,537.65,537.65,1650,366300
DLF_F2,03-10-2023,12:05:00,538.8,539.1,538.8,539.1,6600,366300
DLF_F2,03-10-2023,12:07:00,539.5,539.5,539.5,539.5,1650,366300
DLF_F2,03-10-2023,12:08:00,539.5,539.5,539.5,539.5,1650,366300
DLF_F2,03-10-2023,12:20:00,540.0,540.0,540.0,540.0,3300,364650
DLF_F2,03-10-2023,12:31:00,541.2,541.2,541.2,541.2,1650,363000
DLF_F2,03-10-2023,12:32:00,541.2,541.2,541.2,541.2,1650,363000
DLF_F2,03-10-2023,12:56:00,540.05,540.05,540.05,540.05,1650,363000
DLF_F2,03-10-2023,12:57:00,540.75,540.75,540.75,540.75,1650,364650
DLF_F2,03-10-2023,13:02:00,540.75,540.75,540.75,540.75,1650,364650
DLF_F2,03-10-2023,13:28:00,540.7,540.7,540.7,540.7,1650,364650
DLF_F2,03-10-2023,13:33:00,541.05,541.05,541.05,541.05,1650,366300
DLF_F2,03-10-2023,13:38:00,540.45,540.45,540.45,540.45,1650,367950
DLF_F2,03-10-2023,13:43:00,540.7,540.7,540.7,540.7,1650,367950
DLF_F2,03-10-2023,13:44:00,540.75,540.75,540.75,540.75,1650,367950
DLF_F2,03-10-2023,13:51:00,540.0,540.0,540.0,540.0,3300,366300
DLF_F2,03-10-2023,14:20:00,541.3,541.3,541.3,541.3,1650,364650
DLF_F2,03-10-2023,14:32:00,542.0,542.0,542.0,542.0,13200,363000
DLF_F2,03-10-2023,14:33:00,542.35,542.35,542.35,542.35,1650,361350
DLF_F2,03-10-2023,14:36:00,542.35,542.35,542.35,542.35,1650,361350
DLF_F2,03-10-2023,14:40:00,543.0,543.0,543.0,543.0,1650,363000
DLF_F2,03-10-2023,14:41:00,543.25,543.25,543.25,543.25,1650,363000
DLF_F2,03-10-2023,14:43:00,543.25,543.25,543.25,543.25,1650,361350
DLF_F2,03-10-2023,14:44:00,542.25,542.3,542.25,542.3,3300,361350
DLF_F2,03-10-2023,14:50:00,542.75,542.75,542.75,542.75,1650,364650
DLF_F2,03-10-2023,14:51:00,542.6,543.4,542.6,543.4,3300,366300
DLF_F2,03-10-2023,14:53:00,544.05,544.5,544.05,544.5,3300,366300
DLF_F2,03-10-2023,14:54:00,544.5,544.5,544.5,544.5,1650,369600
DLF_F2,03-10-2023,14:56:00,544.0,544.0,544.0,544.0,3300,369600
DLF_F2,03-10-2023,14:57:00,544.25,544.25,544.25,544.25,1650,371250
DLF_F2,03-10-2023,14:58:00,544.9,544.95,544.9,544.95,8250,371250
DLF_F2,03-10-2023,15:00:00,545.0,545.25,545.0,545.25,6600,374550
DLF_F2,03-10-2023,15:04:00,546.15,546.15,546.15,546.15,1650,374550
DLF_F2,03-10-2023,15:05:00,546.15,546.15,546.15,546.15,1650,374550
DLF_F2,03-10-2023,15:09:00,545.45,545.45,545.45,545.45,3300,376200
DLF_F2,03-10-2023,15:10:00,544.75,544.75,544.75,544.75,1650,376200
DLF_F2,03-10-2023,15:13:00,545.35,545.35,545.35,545.35,1650,377850
DLF_F2,03-10-2023,15:18:00,544.6,544.6,544.15,544.15,9900,377850
DLF_F2,03-10-2023,15:19:00,544.4,544.4,544.4,544.4,1650,377850
DLF_F2,03-10-2023,15:21:00,544.5,544.5,544.5,544.5,1650,377850
DLF_F2,03-10-2023,15:23:00,543.65,543.65,543.65,543.65,3300,377850
DLF_F2,03-10-2023,15:24:00,543.4,543.5,543.4,543.5,3300,372900
DLF_F2,03-10-2023,15:25:00,543.5,543.5,543.5,543.5,3300,372900
DLF_F2,03-10-2023,15:28:00,543.9,544.0,543.9,544.0,11550,372900
DLF_F2,04-10-2023,09:15:00,541.8,543.0,541.8,543.0,4951,381150
DLF_F2,04-10-2023,09:16:00,543.0,543.0,541.2,541.2,13200,381150
DLF_F2,04-10-2023,09:17:00,541.0,541.1,541.0,541.1,6600,386100
