<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> 
GRANULES_F2,03-10-2023,09:15:00,360.0,360.0,359.15,359.15,10002,176000
GRANULES_F2,03-10-2023,09:16:00,359.0,359.0,359.0,359.0,2000,176000
GRANULES_F2,03-10-2023,09:17:00,359.0,359.45,358.6,358.6,10000,178000
GRANULES_F2,03-10-2023,09:18:00,358.0,358.0,358.0,358.0,2000,178000
GRANULES_F2,03-10-2023,09:20:00,358.0,358.5,357.5,357.5,8000,180000
GRANULES_F2,03-10-2023,09:21:00,357.2,357.2,357.2,357.2,4000,180000
GRANULES_F2,03-10-2023,09:22:00,357.2,357.2,357.2,357.2,2000,180000
GRANULES_F2,03-10-2023,09:23:00,359.7,359.7,359.7,359.7,2000,184000
GRANULES_F2,03-10-2023,09:24:00,359.5,359.5,359.5,359.5,2000,184000
GRANULES_F2,03-10-2023,09:25:00,359.65,359.65,359.65,359.65,2000,184000
GRANULES_F2,03-10-2023,09:26:00,360.2,360.2,360.2,360.2,6000,184000
GRANULES_F2,03-10-2023,09:30:00,358.0,358.0,358.0,358.0,2000,192000
GRANULES_F2,03-10-2023,09:35:00,358.35,358.35,358.35,358.35,2000,192000
GRANULES_F2,03-10-2023,09:42:00,359.0,359.85,359.0,359.85,10000,192000
GRANULES_F2,03-10-2023,09:44:00,359.7,359.7,359.7,359.7,2000,194000
GRANULES_F2,03-10-2023,09:48:00,359.3,359.3,359.3,359.3,2000,194000
GRANULES_F2,03-10-2023,09:54:00,359.6,359.6,359.6,359.6,2000,194000
GRANULES_F2,03-10-2023,09:55:00,359.0,359.0,359.0,359.0,4000,194000
GRANULES_F2,03-10-2023,09:59:00,360.0,360.0,360.0,360.0,2000,196000
GRANULES_F2,03-10-2023,10:27:00,360.8,360.8,360.8,360.8,2000,196000
GRANULES_F2,03-10-2023,10:32:00,360.8,360.8,360.8,360.8,2000,198000
GRANULES_F2,03-10-2023,11:00:00,361.0,361.0,361.0,361.0,2000,200000
GRANULES_F2,03-10-2023,11:02:00,361.0,361.0,361.0,361.0,2000,200000
GRANULES_F2,03-10-2023,11:04:00,360.1,360.1,360.1,360.1,2000,196000
GRANULES_F2,03-10-2023,11:07:00,361.6,361.6,361.6,361.6,2000,196000
GRANULES_F2,03-10-2023,11:10:00,361.6,361.6,361.6,361.6,2000,196000
GRANULES_F2,03-10-2023,11:17:00,360.3,360.3,360.3,360.3,6000,196000
GRANULES_F2,03-10-2023,12:23:00,360.5,360.5,360.5,360.5,2000,200000
GRANULES_F2,03-10-2023,13:13:00,360.8,360.8,360.8,360.8,4000,200000
GRANULES_F2,03-10-2023,13:29:00,360.8,360.8,360.8,360.8,2000,204000
GRANULES_F2,03-10-2023,13:54:00,359.4,359.4,359.4,359.4,2000,206000
GRANULES_F2,03-10-2023,13:59:00,358.75,358.75,358.5,358.5,4000,204000
GRANULES_F2,03-10-2023,14:01:00,358.95,358.95,358.95,358.95,2000,208000
GRANULES_F2,03-10-2023,14:03:00,359.9,359.9,359.9,359.9,4000,208000
GRANULES_F2,03-10-2023,14:06:00,359.75,359.75,359.05,359.05,10000,212000
GRANULES_F2,03-10-2023,14:12:00,359.8,359.8,359.8,359.8,2000,206000
GRANULES_F2,03-10-2023,14:17:00,359.9,359.9,359.9,359.9,4000,204000
GRANULES_F2,03-10-2023,14:18:00,360.25,360.25,360.25,360.25,2000,204000
