<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> 
ICICIPRULI_F3,10-10-2023,11:00:00,540.05,540.05,540.05,540.05,1501,0
ICICIPRULI_F3,10-10-2023,11:22:00,540.05,540.05,540.05,540.05,1500,1500
ICICIPRULI_F3,10-10-2023,11:50:00,541.4,541.4,541.4,541.4,1500,1500
ICICIPRULI_F3,10-10-2023,12:24:00,544.45,544.45,544.45,544.45,3000,3000
ICICIPRULI_F3,10-10-2023,13:52:00,545.1,545.1,545.1,545.1,1500,6000
ICICIPRULI_F3,11-10-2023,10:02:00,545.0,545.0,545.0,545.0,1501,4500
ICICIPRULI_F3,11-10-2023,10:27:00,540.0,540.0,540.0,540.0,1500,6000
ICICIPRULI_F3,11-10-2023,10:52:00,540.0,540.0,540.0,540.0,1500,7500
ICICIPRULI_F3,11-10-2023,11:03:00,539.15,539.15,539.15,539.15,1500,9000
ICICIPRULI_F3,11-10-2023,11:15:00,536.5,536.5,536.5,536.5,1500,10500
ICICIPRULI_F3,11-10-2023,11:19:00,536.5,536.5,536.5,536.5,1500,12000
ICICIPRULI_F3,11-10-2023,11:53:00,538.05,538.05,538.05,538.05,1500,13500
ICICIPRULI_F3,11-10-2023,12:21:00,536.0,536.0,536.0,536.0,1500,12000
ICICIPRULI_F3,11-10-2023,12:26:00,536.0,536.0,536.0,536.0,1500,12000
ICICIPRULI_F3,11-10-2023,12:28:00,535.35,535.35,535.35,535.35,1500,13500
ICICIPRULI_F3,11-10-2023,12:31:00,534.85,534.85,534.85,534.85,1500,15000
ICICIPRULI_F3,11-10-2023,12:37:00,534.35,534.35,534.35,534.35,1500,16500
ICICIPRULI_F3,11-10-2023,12:41:00,534.0,534.0,534.0,534.0,3000,16500
ICICIPRULI_F3,11-10-2023,12:57:00,533.8,533.8,533.8,533.8,1500,19500
ICICIPRULI_F3,11-10-2023,13:06:00,533.8,533.8,533.8,533.8,1500,19500
ICICIPRULI_F3,11-10-2023,13:09:00,533.9,533.9,533.9,533.9,1500,19500
ICICIPRULI_F3,11-10-2023,13:40:00,533.0,533.0,533.0,533.0,1500,19500
ICICIPRULI_F3,12-10-2023,09:15:00,533.0,533.0,533.0,533.0,1501,21000
ICICIPRULI_F3,12-10-2023,09:18:00,538.65,538.65,538.65,538.65,1500,21000
ICICIPRULI_F3,12-10-2023,10:12:00,538.65,538.65,538.65,538.65,1500,22500
ICICIPRULI_F3,12-10-2023,10:39:00,530.0,530.0,530.0,530.0,3000,24000
ICICIPRULI_F3,12-10-2023,11:19:00,530.0,530.0,530.0,530.0,1500,27000
ICICIPRULI_F3,13-10-2023,12:57:00,530.45,530.45,530.45,530.45,1501,25500
ICICIPRULI_F3,13-10-2023,14:57:00,532.5,532.5,532.5,532.5,1500,27000
ICICIPRULI_F3,13-10-2023,15:26:00,532.5,532.5,532.5,532.5,1500,27000
ICICIPRULI_F3,16-10-2023,10:47:00,534.5,534.5,534.5,534.5,1501,28500
ICICIPRULI_F3,16-10-2023,10:54:00,535.35,535.35,535.35,535.35,1500,27000
ICICIPRULI_F3,16-10-2023,12:15:00,539.9,539.9,539.9,539.9,1500,25500
ICICIPRULI_F3,16-10-2023,14:42:00,539.9,539.9,539.9,539.9,1500,24000
