<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> 
LTTS_F3,03-10-2023,12:46:00,4572.8501,4572.8501,4572.8501,4572.8501,201,400
LTTS_F3,04-10-2023,09:53:00,4525.0,4525.0,4525.0,4525.0,201,600
LTTS_F3,04-10-2023,10:10:00,4510.0,4510.0,4510.0,4510.0,200,800
LTTS_F3,04-10-2023,10:28:00,4510.0,4510.0,4510.0,4510.0,200,1000
LTTS_F3,04-10-2023,10:49:00,4510.0,4510.0,4510.0,4510.0,200,1200
LTTS_F3,05-10-2023,10:29:00,4555.0,4555.0,4555.0,4555.0,201,1200
LTTS_F3,05-10-2023,10:49:00,4561.75,4561.75,4561.75,4561.75,200,1400
LTTS_F3,06-10-2023,10:01:00,4601.3501,4601.3501,4601.3501,4601.3501,201,1400
LTTS_F3,09-10-2023,09:47:00,4702.0,4702.0,4702.0,4702.0,201,1600
LTTS_F3,09-10-2023,09:54:00,4700.0,4700.0,4700.0,4700.0,200,1600
LTTS_F3,09-10-2023,09:58:00,4661.0,4661.0,4661.0,4661.0,200,1800
LTTS_F3,09-10-2023,10:10:00,4644.2998,4644.2998,4644.2998,4644.2998,200,2000
LTTS_F3,09-10-2023,10:23:00,4644.2998,4644.2998,4644.2998,4644.2998,200,2200
LTTS_F3,09-10-2023,11:12:00,4650.0,4650.0,4650.0,4650.0,200,2400
LTTS_F3,09-10-2023,11:21:00,4658.9502,4658.9502,4658.9502,4658.9502,200,2600
LTTS_F3,09-10-2023,11:23:00,4658.7002,4658.7002,4658.7002,4658.7002,600,2600
LTTS_F3,09-10-2023,11:26:00,4665.7002,4665.7002,4665.7002,4665.7002,400,3400
LTTS_F3,09-10-2023,11:33:00,4668.8999,4668.8999,4668.8999,4668.8999,600,3800
LTTS_F3,09-10-2023,11:34:00,4666.7002,4666.7002,4666.7002,4666.7002,200,3800
LTTS_F3,09-10-2023,11:39:00,4665.3999,4665.3999,4665.3999,4665.3999,200,4600
LTTS_F3,09-10-2023,11:56:00,4661.0498,4661.0498,4661.0498,4661.0498,200,4800
LTTS_F3,09-10-2023,11:57:00,4662.0498,4662.0498,4662.0498,4662.0498,200,5000
LTTS_F3,09-10-2023,11:59:00,4659.2002,4659.2002,4659.2002,4659.2002,200,5200
LTTS_F3,09-10-2023,12:00:00,4659.2002,4659.2002,4659.2002,4659.2002,200,5200
LTTS_F3,09-10-2023,12:01:00,4659.2002,4659.2002,4659.2002,4659.2002,200,5200
LTTS_F3,09-10-2023,12:10:00,4665.0,4665.0,4665.0,4665.0,600,5800
LTTS_F3,09-10-2023,12:13:00,4674.2002,4674.2002,4674.2002,4674.2002,200,6400
LTTS_F3,09-10-2023,12:17:00,4674.2998,4674.2998,4674.2998,4674.2998,200,6600
LTTS_F3,09-10-2023,12:20:00,4674.2998,4674.2998,4674.2998,4674.2998,200,6800
LTTS_F3,09-10-2023,12:22:00,4682.9502,4682.9502,4682.9502,4682.9502,400,7000
LTTS_F3,09-10-2023,12:24:00,4682.9502,4682.9502,4682.9502,4682.9502,200,7400
LTTS_F3,09-10-2023,12:26:00,4682.4502,4682.4502,4682.4502,4682.4502,200,7400
LTTS_F3,09-10-2023,12:28:00,4674.8501,4674.8501,4674.8501,4674.8501,200,7800
LTTS_F3,09-10-2023,12:30:00,4674.25,4674.25,4674.25,4674.25,200,8000
LTTS_F3,09-10-2023,12:31:00,4668.8501,4668.8501,4668.8501,4668.8501,200,8000
LTTS_F3,09-10-2023,12:32:00,4667.5,4667.5,4666.7002,4666.7002,400,8000
LTTS_F3,09-10-2023,12:34:00,4667.5498,4667.5498,4667.5498,4667.5498,600,8800
LTTS_F3,09-10-2023,12:35:00,4668.5498,4668.5498,4668.5498,4668.5498,200,8800
LTTS_F3,09-10-2023,12:47:00,4666.5,4666.5,4666.5,4666.5,200,9600
LTTS_F3,09-10-2023,12:48:00,4667.9502,4667.9502,4667.9502,4667.9502,200,9800
LTTS_F3,09-10-2023,12:49:00,4667.9502,4667.9502,4666.8999,4666.8999,400,9800
LTTS_F3,09-10-2023,12:50:00,4668.0,4668.0,4668.0,4668.0,400,9800
LTTS_F3,09-10-2023,13:00:00,4674.7002,4674.7002,4674.7002,4674.7002,600,10600
LTTS_F3,09-10-2023,13:01:00,4672.8999,4672.8999,4672.8999,4672.8999,200,10600
LTTS_F3,09-10-2023,13:02:00,4674.9502,4674.9502,4674.9502,4674.9502,200,10600
LTTS_F3,09-10-2023,13:03:00,4675.0,4675.0,4675.0,4675.0,200,11600
LTTS_F3,09-10-2023,13:06:00,4672.75,4672.75,4672.75,4672.75,200,11600
LTTS_F3,09-10-2023,13:07:00,4672.75,4672.75,4672.75,4672.75,200,11600
LTTS_F3,09-10-2023,13:13:00,4672.75,4672.75,4672.75,4672.75,200,12000
LTTS_F3,09-10-2023,13:16:00,4672.75,4672.75,4672.75,4672.75,200,12200
LTTS_F3,09-10-2023,13:37:00,4688.7998,4688.7998,4688.7998,4688.7998,200,12400
LTTS_F3,09-10-2023,13:38:00,4689.25,4689.25,4689.25,4689.25,200,12400
LTTS_F3,09-10-2023,13:42:00,4680.0,4688.4502,4680.0,4688.4502,400,12800
LTTS_F3,09-10-2023,13:43:00,4687.9502,4689.9502,4687.9502,4689.9502,1000,12800
LTTS_F3,09-10-2023,13:47:00,4680.0,4680.0,4680.0,4680.0,200,13800
LTTS_F3,09-10-2023,13:56:00,4680.0,4680.0,4680.0,4680.0,200,14000
LTTS_F3,09-10-2023,13:57:00,4680.0,4680.0,4680.0,4680.0,200,14200
LTTS_F3,09-10-2023,13:58:00,4680.0,4680.0,4680.0,4680.0,400,14200
LTTS_F3,09-10-2023,13:59:00,4680.0,4680.0,4680.0,4680.0,200,14200
LTTS_F3,09-10-2023,14:01:00,4680.0,4680.0,4680.0,4680.0,400,14800
LTTS_F3,09-10-2023,15:08:00,4691.0498,4691.3999,4691.0498,4691.3999,1200,15000
LTTS_F3,09-10-2023,15:14:00,4688.2002,4688.2002,4688.2002,4688.2002,200,16000
LTTS_F3,09-10-2023,15:15:00,4686.7998,4686.7998,4686.3501,4686.3501,600,16400
LTTS_F3,09-10-2023,15:26:00,4669.75,4669.75,4665.0,4665.0,400,16800
LTTS_F3,10-10-2023,09:46:00,4691.5,4691.5,4691.5,4691.5,201,17000
LTTS_F3,10-10-2023,09:57:00,4688.0,4688.0,4688.0,4688.0,200,17000
LTTS_F3,10-10-2023,10:01:00,4688.0,4688.0,4688.0,4688.0,200,17400
LTTS_F3,10-10-2023,10:27:00,4688.0,4688.0,4688.0,4688.0,200,17400
LTTS_F3,10-10-2023,10:39:00,4715.25,4715.25,4715.25,4715.25,200,17200
LTTS_F3,10-10-2023,10:47:00,4715.25,4715.25,4715.25,4715.25,200,17200
LTTS_F3,10-10-2023,10:54:00,4725.0,4725.0,4725.0,4725.0,200,17400
LTTS_F3,10-10-2023,11:57:00,4725.0,4725.0,4725.0,4725.0,400,17200
LTTS_F3,10-10-2023,11:58:00,4725.0,4725.0,4725.0,4725.0,200,17200
LTTS_F3,10-10-2023,12:23:00,4730.0,4730.0,4730.0,4730.0,200,17400
LTTS_F3,10-10-2023,12:50:00,4732.2002,4732.2002,4732.2002,4732.2002,200,17200
LTTS_F3,10-10-2023,12:54:00,4743.2998,4743.2998,4743.2998,4743.2998,200,17200
LTTS_F3,10-10-2023,12:55:00,4750.0,4750.0,4750.0,4750.0,200,17200
LTTS_F3,10-10-2023,13:56:00,4752.2002,4752.2002,4752.2002,4752.2002,200,17000
LTTS_F3,10-10-2023,14:17:00,4752.2002,4752.2002,4752.2002,4752.2002,200,16800
LTTS_F3,10-10-2023,15:29:00,4769.6499,4769.6499,4769.6499,4769.6499,200,16600
LTTS_F3,11-10-2023,09:31:00,4792.0,4792.0,4792.0,4792.0,201,16600
LTTS_F3,11-10-2023,10:51:00,4800.0,4800.0,4800.0,4800.0,200,16400
LTTS_F3,11-10-2023,11:11:00,4800.0,4800.0,4800.0,4800.0,200,16600
LTTS_F3,11-10-2023,12:19:00,4750.0,4750.0,4750.0,4750.0,200,16800
LTTS_F3,11-10-2023,12:41:00,4740.0,4740.0,4740.0,4740.0,200,17000
LTTS_F3,11-10-2023,15:22:00,4726.5,4726.5,4726.5,4726.5,200,17200
LTTS_F3,12-10-2023,10:50:00,4741.8999,4741.8999,4741.8999,4741.8999,201,17200
LTTS_F3,13-10-2023,15:10:00,4707.0,4707.0,4707.0,4707.0,201,17400
LTTS_F3,16-10-2023,09:23:00,4676.5,4676.5,4676.5,4676.5,201,17400
LTTS_F3,16-10-2023,09:38:00,4714.7002,4714.7002,4714.7002,4714.7002,200,17400
LTTS_F3,16-10-2023,10:08:00,4730.0,4730.0,4730.0,4730.0,200,17400
LTTS_F3,16-10-2023,12:47:00,4730.0,4730.0,4730.0,4730.0,200,17600
LTTS_F3,17-10-2023,09:51:00,4697.8501,4697.8501,4697.8501,4697.8501,201,17800
LTTS_F3,17-10-2023,10:57:00,4660.0,4660.0,4660.0,4660.0,200,18000
LTTS_F3,17-10-2023,11:00:00,4659.0,4659.0,4659.0,4659.0,200,18200
LTTS_F3,17-10-2023,11:32:00,4630.0,4630.0,4630.0,4630.0,200,18400
LTTS_F3,17-10-2023,12:03:00,4620.0,4620.0,4620.0,4620.0,400,18800
LTTS_F3,17-10-2023,14:58:00,4619.2998,4619.2998,4619.2998,4619.2998,200,19000
