<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> 
MARICO_F2,03-10-2023,09:15:00,575.0,575.0,575.0,575.0,1201,129600
MARICO_F2,03-10-2023,09:17:00,578.7,578.7,578.7,578.7,2400,128400
MARICO_F2,03-10-2023,09:18:00,578.7,578.7,578.7,578.7,1200,128400
MARICO_F2,03-10-2023,09:20:00,583.0,583.0,583.0,583.0,1200,124800
MARICO_F2,03-10-2023,09:21:00,586.05,590.65,586.05,590.65,15600,124800
MARICO_F2,03-10-2023,09:22:00,590.65,592.3,590.35,592.3,15600,124800
MARICO_F2,03-10-2023,09:23:00,592.3,592.3,591.5,591.5,2400,130800
MARICO_F2,03-10-2023,09:24:00,590.7,590.7,586.8,586.8,3600,130800
MARICO_F2,03-10-2023,09:25:00,586.0,586.0,586.0,586.0,3600,130800
MARICO_F2,03-10-2023,09:26:00,587.3,588.2,587.3,588.2,3600,133200
MARICO_F2,03-10-2023,09:29:00,589.9,589.9,589.9,589.9,1200,135600
MARICO_F2,03-10-2023,09:32:00,589.9,589.9,589.9,589.9,1200,136800
MARICO_F2,03-10-2023,09:34:00,588.3,589.1,588.3,589.1,3600,136800
MARICO_F2,03-10-2023,09:35:00,589.1,589.1,589.1,589.1,1200,136800
MARICO_F2,03-10-2023,09:36:00,590.2,592.0,590.2,592.0,10800,136800
MARICO_F2,03-10-2023,09:37:00,592.0,592.0,592.0,592.0,1200,136800
MARICO_F2,03-10-2023,09:39:00,594.0,594.0,594.0,594.0,3600,139200
MARICO_F2,03-10-2023,09:40:00,594.0,594.0,594.0,594.0,1200,139200
MARICO_F2,03-10-2023,09:44:00,590.0,590.0,590.0,590.0,2400,138000
MARICO_F2,03-10-2023,09:46:00,590.45,591.0,590.0,590.0,3600,135600
MARICO_F2,03-10-2023,09:48:00,590.0,590.0,590.0,590.0,1200,138000
MARICO_F2,03-10-2023,09:49:00,589.1,589.1,589.1,589.1,1200,138000
MARICO_F2,03-10-2023,09:50:00,589.3,589.3,589.3,589.3,1200,135600
MARICO_F2,03-10-2023,09:56:00,589.0,589.0,589.0,589.0,3600,134400
MARICO_F2,03-10-2023,09:57:00,588.15,588.15,586.05,586.05,3600,133200
MARICO_F2,03-10-2023,09:58:00,586.0,586.0,585.8,585.8,2400,133200
MARICO_F2,03-10-2023,09:59:00,585.2,585.2,583.5,583.5,2400,129600
