<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> 
MARUTI_F3,03-10-2023,09:29:00,10600.0498,10600.0498,10600.0498,10600.0498,101,1500
MARUTI_F3,03-10-2023,09:30:00,10600.0,10600.0,10600.0,10600.0,100,1500
MARUTI_F3,03-10-2023,09:36:00,10575.0,10575.0,10575.0,10575.0,300,1600
MARUTI_F3,03-10-2023,09:37:00,10575.0,10575.0,10575.0,10575.0,700,1600
MARUTI_F3,03-10-2023,09:40:00,10575.0,10575.0,10575.0,10575.0,100,2600
MARUTI_F3,03-10-2023,09:43:00,10575.0,10575.0,10575.0,10575.0,100,2600
MARUTI_F3,03-10-2023,09:46:00,10565.0,10565.0,10565.0,10565.0,100,2700
MARUTI_F3,03-10-2023,10:17:00,10521.4502,10521.4502,10521.4502,10521.4502,100,2600
MARUTI_F3,03-10-2023,10:23:00,10515.0,10515.0,10515.0,10515.0,200,2600
MARUTI_F3,03-10-2023,10:32:00,10515.0,10515.0,10515.0,10515.0,100,2600
MARUTI_F3,03-10-2023,10:45:00,10530.0,10530.0,10530.0,10530.0,100,2600
MARUTI_F3,03-10-2023,11:19:00,10545.0,10545.0,10545.0,10545.0,300,2600
MARUTI_F3,03-10-2023,11:27:00,10550.0,10550.0,10550.0,10550.0,100,2600
MARUTI_F3,03-10-2023,11:28:00,10550.0,10550.0,10550.0,10550.0,100,2600
MARUTI_F3,03-10-2023,11:47:00,10536.9502,10536.9502,10536.9502,10536.9502,100,2600
MARUTI_F3,03-10-2023,11:52:00,10535.0,10537.0,10535.0,10537.0,900,2600
MARUTI_F3,03-10-2023,11:55:00,10528.9004,10528.9004,10528.9004,10528.9004,100,2500
MARUTI_F3,03-10-2023,12:05:00,10515.0,10515.0,10515.0,10515.0,100,2600
MARUTI_F3,03-10-2023,14:03:00,10566.8496,10566.8496,10566.8496,10566.8496,200,2700
MARUTI_F3,03-10-2023,14:20:00,10545.1504,10545.1504,10545.1504,10545.1504,200,2800
MARUTI_F3,03-10-2023,15:19:00,10520.7998,10520.7998,10520.7998,10520.7998,100,3000
MARUTI_F3,03-10-2023,15:23:00,10514.1504,10514.1504,10514.1504,10514.1504,100,3100
MARUTI_F3,03-10-2023,15:25:00,10510.0,10510.0,10510.0,10510.0,100,3100
MARUTI_F3,03-10-2023,15:28:00,10510.0,10510.0,10510.0,10510.0,100,3200
MARUTI_F3,03-10-2023,15:29:00,10510.0,10510.0,10510.0,10510.0,100,3200
MARUTI_F3,04-10-2023,09:18:00,10367.6504,10367.6504,10367.6504,10367.6504,101,3300
MARUTI_F3,04-10-2023,09:24:00,10300.0,10300.0,10300.0,10300.0,100,3200
MARUTI_F3,04-10-2023,09:46:00,10300.0,10300.0,10300.0,10300.0,100,3300
MARUTI_F3,04-10-2023,09:47:00,10300.0,10300.0,10300.0,10300.0,100,3300
MARUTI_F3,04-10-2023,09:49:00,10341.75,10341.75,10341.75,10341.75,100,3400
MARUTI_F3,04-10-2023,10:02:00,10341.0,10341.0,10341.0,10341.0,100,3400
MARUTI_F3,04-10-2023,10:12:00,10346.8496,10346.8496,10346.8496,10346.8496,300,3400
MARUTI_F3,04-10-2023,12:02:00,10320.0,10320.0,10320.0,10320.0,100,3400
MARUTI_F3,04-10-2023,12:09:00,10310.0,10310.0,10310.0,10310.0,100,3400
MARUTI_F3,04-10-2023,12:10:00,10310.0,10310.0,10310.0,10310.0,100,3400
MARUTI_F3,04-10-2023,12:11:00,10315.25,10315.25,10315.25,10315.25,100,3400
MARUTI_F3,04-10-2023,12:47:00,10331.7998,10331.7998,10331.7998,10331.7998,500,3600
MARUTI_F3,04-10-2023,13:50:00,10300.0,10300.0,10300.0,10300.0,200,3900
MARUTI_F3,04-10-2023,14:33:00,10300.0,10300.0,10300.0,10300.0,100,3900
MARUTI_F3,04-10-2023,14:42:00,10314.0,10314.0,10314.0,10314.0,100,4000
MARUTI_F3,04-10-2023,14:43:00,10344.0498,10344.0498,10344.0498,10344.0498,100,4000
MARUTI_F3,04-10-2023,14:51:00,10320.0,10320.0,10320.0,10320.0,100,4000
MARUTI_F3,04-10-2023,15:25:00,10320.0,10320.0,10320.0,10320.0,300,4100
MARUTI_F3,04-10-2023,15:26:00,10323.5,10323.5,10323.5,10323.5,200,4100
MARUTI_F3,05-10-2023,09:17:00,10350.0,10350.0,10350.0,10350.0,101,4400
MARUTI_F3,05-10-2023,09:18:00,10335.25,10335.25,10335.25,10335.25,200,4400
MARUTI_F3,05-10-2023,09:23:00,10364.9502,10364.9502,10364.9502,10364.9502,100,4500
MARUTI_F3,05-10-2023,09:24:00,10364.9502,10364.9502,10364.9502,10364.9502,100,4500
MARUTI_F3,05-10-2023,09:25:00,10356.0996,10356.0996,10356.0996,10356.0996,100,4500
MARUTI_F3,05-10-2023,09:26:00,10335.0,10335.0,10335.0,10335.0,100,4500
MARUTI_F3,05-10-2023,10:38:00,10320.0,10320.0,10320.0,10320.0,200,4800
MARUTI_F3,05-10-2023,11:27:00,10320.0,10320.0,10320.0,10320.0,100,4800
MARUTI_F3,05-10-2023,12:22:00,10327.9502,10327.9502,10327.9502,10327.9502,100,4800
MARUTI_F3,05-10-2023,12:23:00,10321.9502,10321.9502,10321.9502,10321.9502,100,4800
MARUTI_F3,05-10-2023,12:30:00,10327.9502,10327.9502,10327.9502,10327.9502,100,4900
MARUTI_F3,05-10-2023,12:31:00,10329.9502,10329.9502,10329.9502,10329.9502,100,4900
MARUTI_F3,05-10-2023,13:10:00,10351.4502,10351.4502,10351.4502,10351.4502,100,5100
MARUTI_F3,05-10-2023,13:22:00,10362.0,10362.0,10362.0,10362.0,100,5200
MARUTI_F3,05-10-2023,13:34:00,10379.6504,10379.6504,10379.6504,10379.6504,100,5100
MARUTI_F3,05-10-2023,13:37:00,10379.6504,10379.6504,10379.6504,10379.6504,100,5200
MARUTI_F3,05-10-2023,13:44:00,10385.0,10385.0,10385.0,10385.0,100,5300
MARUTI_F3,05-10-2023,14:19:00,10385.0,10385.0,10385.0,10385.0,100,5200
MARUTI_F3,05-10-2023,14:22:00,10385.0,10385.0,10385.0,10385.0,100,5200
MARUTI_F3,05-10-2023,14:39:00,10385.0,10385.0,10385.0,10385.0,100,5200
MARUTI_F3,05-10-2023,15:04:00,10385.0,10385.0,10385.0,10385.0,200,5200
MARUTI_F3,05-10-2023,15:16:00,10378.5,10378.5,10378.5,10378.5,100,5100
MARUTI_F3,05-10-2023,15:21:00,10421.0,10421.0,10421.0,10421.0,100,5000
MARUTI_F3,05-10-2023,15:24:00,10440.0,10440.0,10440.0,10440.0,100,4900
MARUTI_F3,06-10-2023,09:34:00,10500.0,10500.0,10500.0,10500.0,101,4900
MARUTI_F3,06-10-2023,10:07:00,10424.4004,10424.4004,10424.4004,10424.4004,200,5000
MARUTI_F3,06-10-2023,10:49:00,10424.4004,10424.4004,10424.4004,10424.4004,300,4800
MARUTI_F3,06-10-2023,10:51:00,10481.0,10481.0,10481.0,10481.0,100,5100
MARUTI_F3,06-10-2023,14:22:00,10460.0,10460.0,10460.0,10460.0,100,5200
MARUTI_F3,06-10-2023,14:44:00,10468.9004,10468.9004,10468.9004,10468.9004,100,5300
MARUTI_F3,06-10-2023,15:22:00,10467.2998,10467.2998,10467.2998,10467.2998,100,5300
MARUTI_F3,09-10-2023,09:17:00,10383.5498,10383.5498,10383.5498,10383.5498,101,5400
MARUTI_F3,09-10-2023,10:07:00,10481.0,10481.0,10481.0,10481.0,100,5500
MARUTI_F3,09-10-2023,14:16:00,10481.0,10481.0,10481.0,10481.0,100,5500
MARUTI_F3,09-10-2023,15:06:00,10417.7998,10417.7998,10417.7998,10417.7998,200,5500
MARUTI_F3,10-10-2023,09:18:00,10449.0498,10449.0498,10449.0498,10449.0498,101,5600
MARUTI_F3,10-10-2023,09:19:00,10475.0,10475.0,10475.0,10475.0,100,5600
MARUTI_F3,10-10-2023,09:25:00,10520.0,10521.0,10520.0,10521.0,200,5600
MARUTI_F3,10-10-2023,09:43:00,10521.0,10521.0,10521.0,10521.0,500,5600
MARUTI_F3,10-10-2023,09:49:00,10515.8496,10515.8496,10515.8496,10515.8496,700,5900
MARUTI_F3,10-10-2023,09:51:00,10523.4502,10523.4502,10523.4502,10523.4502,300,5800
MARUTI_F3,10-10-2023,09:57:00,10528.5498,10528.5498,10528.5498,10528.5498,100,5500
MARUTI_F3,10-10-2023,10:12:00,10549.9502,10549.9502,10549.9502,10549.9502,100,5600
MARUTI_F3,10-10-2023,10:14:00,10555.2002,10555.2002,10555.2002,10555.2002,100,5600
MARUTI_F3,10-10-2023,10:15:00,10560.0,10560.0,10560.0,10560.0,200,5500
MARUTI_F3,10-10-2023,10:33:00,10560.0,10560.0,10560.0,10560.0,400,5600
MARUTI_F3,10-10-2023,10:41:00,10550.1504,10550.1504,10550.1504,10550.1504,100,5600
MARUTI_F3,10-10-2023,10:46:00,10560.0,10560.0,10560.0,10560.0,100,5600
MARUTI_F3,10-10-2023,10:47:00,10560.0,10560.0,10560.0,10560.0,100,5600
MARUTI_F3,10-10-2023,10:50:00,10567.0,10567.0,10567.0,10567.0,100,5600
MARUTI_F3,10-10-2023,10:51:00,10570.0,10570.0,10570.0,10570.0,100,5600
MARUTI_F3,10-10-2023,11:07:00,10570.0,10570.0,10570.0,10570.0,500,5600
MARUTI_F3,10-10-2023,11:20:00,10551.3496,10551.3496,10551.3496,10551.3496,100,5400
MARUTI_F3,10-10-2023,11:30:00,10545.5996,10545.5996,10545.5996,10545.5996,100,5500
MARUTI_F3,10-10-2023,12:54:00,10499.6504,10499.6504,10499.6504,10499.6504,100,5600
MARUTI_F3,10-10-2023,13:00:00,10483.0498,10483.0498,10483.0498,10483.0498,100,5600
MARUTI_F3,10-10-2023,13:20:00,10532.7998,10532.7998,10532.7998,10532.7998,100,5500
MARUTI_F3,10-10-2023,13:51:00,10527.25,10527.25,10527.25,10527.25,100,5400
MARUTI_F3,10-10-2023,15:28:00,10531.0996,10531.0996,10531.0996,10531.0996,100,5400
MARUTI_F3,10-10-2023,15:29:00,10527.25,10527.25,10527.25,10527.25,100,5400
MARUTI_F3,11-10-2023,13:11:00,10600.0,10600.0,10600.0,10600.0,301,5300
MARUTI_F3,11-10-2023,13:17:00,10605.9502,10605.9502,10605.9502,10605.9502,100,5000
MARUTI_F3,11-10-2023,14:55:00,10614.0,10614.0,10614.0,10614.0,100,5000
