<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> 
MRF_F1,03-10-2023,09:15:00,108450.0469,108500.0,107710.2109,108041.2109,361,42540
MRF_F1,03-10-2023,09:16:00,107912.5469,107912.5469,107679.5,107679.5,140,42540
MRF_F1,03-10-2023,09:17:00,107660.7109,107750.0,107650.0,107740.0,50,42570
MRF_F1,03-10-2023,09:18:00,107800.0,107800.0,107540.6094,107540.6094,110,42570
MRF_F1,03-10-2023,09:19:00,107540.6094,107661.7578,107525.0,107525.0,110,42570
MRF_F1,03-10-2023,09:20:00,107525.0,107525.0,107300.0469,107300.0469,90,42680
MRF_F1,03-10-2023,09:21:00,107300.0469,107300.0469,107101.5,107101.5,110,42680
MRF_F1,03-10-2023,09:22:00,107079.7578,107250.0,107079.7578,107250.0,110,42680
MRF_F1,03-10-2023,09:23:00,107200.0,107200.0,107000.0,107000.0,170,42820
MRF_F1,03-10-2023,09:24:00,107000.0,107041.0,106934.6484,106934.6484,190,42820
MRF_F1,03-10-2023,09:25:00,106804.5,106901.8984,106804.5,106884.5469,190,42820
MRF_F1,03-10-2023,09:26:00,106875.7578,106875.7578,106730.4609,106730.4609,280,42980
MRF_F1,03-10-2023,09:27:00,106630.1484,106890.4609,106630.1484,106801.0469,100,42980
MRF_F1,03-10-2023,09:28:00,106731.0,106813.7969,106731.0,106731.0469,70,42980
MRF_F1,03-10-2023,09:29:00,106731.0,106835.9609,106630.0469,106630.0469,90,43140
MRF_F1,03-10-2023,09:30:00,106630.0469,106750.0,106630.0469,106750.0,70,43140
MRF_F1,03-10-2023,09:31:00,106651.0,106767.0469,106510.2969,106510.2969,80,43140
MRF_F1,03-10-2023,09:32:00,106510.2969,106687.5469,106510.2969,106680.8594,90,43270
MRF_F1,03-10-2023,09:33:00,106699.9609,106737.6094,106560.2109,106560.2109,40,43270
MRF_F1,03-10-2023,09:34:00,106560.1484,106560.2109,106550.0,106550.0,70,43270
MRF_F1,03-10-2023,09:35:00,106520.0,106676.3594,106510.0469,106658.9609,140,43360
MRF_F1,03-10-2023,09:36:00,106661.0,107001.5,106661.0,106978.0,340,43360
MRF_F1,03-10-2023,09:37:00,106900.0,106999.8984,106865.1094,106999.8984,90,43360
MRF_F1,03-10-2023,09:38:00,106897.4609,106961.2109,106897.4609,106961.2109,80,43230
MRF_F1,03-10-2023,09:39:00,106984.3594,106984.3594,106900.0,106900.0,80,43230
MRF_F1,03-10-2023,09:40:00,106970.0,106970.0,106750.0,106884.2109,70,43230
MRF_F1,03-10-2023,09:41:00,106738.4609,107047.6484,106738.4609,106927.4609,180,43190
MRF_F1,03-10-2023,09:42:00,106994.7969,107837.7578,106973.3984,107837.7109,430,43190
