<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> 
SUNPHARMA_F1,03-10-2023,09:15:00,1165.7,1166.85,1158.45,1158.9,35001,23290400
SUNPHARMA_F1,03-10-2023,09:16:00,1158.75,1159.5,1158.65,1159.25,8400,23290400
SUNPHARMA_F1,03-10-2023,09:17:00,1158.55,1158.8,1157.85,1158.6,10500,23291800
SUNPHARMA_F1,03-10-2023,09:18:00,1158.45,1158.95,1158.0,1158.0,10500,23291800
SUNPHARMA_F1,03-10-2023,09:19:00,1157.9,1158.55,1157.2,1158.05,23800,23291800
SUNPHARMA_F1,03-10-2023,09:20:00,1158.15,1158.55,1156.35,1158.55,23100,23296000
SUNPHARMA_F1,03-10-2023,09:21:00,1159.15,1162.25,1158.9,1162.0,27300,23296000
SUNPHARMA_F1,03-10-2023,09:22:00,1161.9,1163.0,1161.9,1163.0,13300,23296000
SUNPHARMA_F1,03-10-2023,09:23:00,1163.05,1163.8,1163.0,1163.4,24500,23298100
SUNPHARMA_F1,03-10-2023,09:24:00,1162.8,1163.75,1162.55,1163.55,25200,23298100
SUNPHARMA_F1,03-10-2023,09:25:00,1163.35,1163.35,1160.2,1160.6,18200,23298100
SUNPHARMA_F1,03-10-2023,09:26:00,1160.85,1161.35,1160.5,1160.5,9800,23307200
SUNPHARMA_F1,03-10-2023,09:27:00,1160.0,1160.85,1159.7,1160.4,8400,23307200
SUNPHARMA_F1,03-10-2023,09:28:00,1160.1,1161.15,1159.95,1159.95,13300,23307200
SUNPHARMA_F1,03-10-2023,09:29:00,1160.0,1160.0,1158.15,1158.9,18200,23310700
SUNPHARMA_F1,03-10-2023,09:30:00,1158.75,1158.75,1157.7,1157.7,12600,23310700
SUNPHARMA_F1,03-10-2023,09:31:00,1157.95,1159.15,1157.75,1158.15,6300,23310700
SUNPHARMA_F1,03-10-2023,09:32:00,1158.4,1158.7,1158.4,1158.7,1400,23319800
SUNPHARMA_F1,03-10-2023,09:33:00,1158.1,1158.1,1158.1,1158.1,700,23319800
SUNPHARMA_F1,03-10-2023,09:34:00,1157.8,1157.8,1157.1,1157.6,12600,23319800
SUNPHARMA_F1,03-10-2023,09:35:00,1157.35,1157.95,1157.1,1157.15,4900,23299500
