<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> 
TCS_F2,03-10-2023,09:15:00,3542.1499,3543.45,3529.3501,3529.3501,1227,1168300
TCS_F2,03-10-2023,09:16:00,3527.75,3527.75,3526.3,3526.3,350,1168300
TCS_F2,03-10-2023,09:18:00,3526.3,3535.25,3526.3,3535.25,350,1168825
TCS_F2,03-10-2023,09:19:00,3540.0,3540.0,3540.0,3540.0,1750,1168825
TCS_F2,03-10-2023,09:21:00,3534.0,3534.0,3534.0,3534.0,175,1170750
TCS_F2,03-10-2023,09:30:00,3548.45,3548.45,3548.45,3548.45,875,1170925
TCS_F2,03-10-2023,09:32:00,3548.45,3548.45,3548.45,3548.45,175,1170925
TCS_F2,03-10-2023,09:37:00,3536.0,3536.0,3536.0,3536.0,525,1170750
TCS_F2,03-10-2023,09:40:00,3534.6499,3534.6499,3534.6499,3534.6499,175,1171100
TCS_F2,03-10-2023,09:42:00,3537.2,3537.2,3537.2,3537.2,175,1171100
TCS_F2,03-10-2023,09:43:00,3537.1499,3537.1499,3537.1499,3537.1499,525,1171100
TCS_F2,03-10-2023,09:44:00,3537.25,3537.25,3537.25,3537.25,175,1171450
TCS_F2,03-10-2023,09:47:00,3537.0,3537.0,3533.0,3533.0,525,1171275
TCS_F2,03-10-2023,09:49:00,3529.3501,3529.3999,3528.0,3528.0,700,1171275
TCS_F2,03-10-2023,09:50:00,3528.6499,3528.6499,3528.6499,3528.6499,175,1171275
TCS_F2,03-10-2023,09:51:00,3530.3999,3530.3999,3530.3999,3530.3999,175,1171975
TCS_F2,03-10-2023,09:52:00,3529.2,3529.2,3527.8,3527.8,350,1171975
TCS_F2,03-10-2023,09:54:00,3527.05,3527.05,3525.75,3525.75,525,1171800
TCS_F2,03-10-2023,09:55:00,3525.1001,3527.7,3525.1001,3526.1499,700,1171800
TCS_F2,03-10-2023,09:56:00,3525.8501,3525.8501,3525.8501,3525.8501,175,1171975
TCS_F2,03-10-2023,09:57:00,3525.0,3525.0,3525.0,3525.0,2100,1171975
TCS_F2,03-10-2023,09:58:00,3523.3,3523.3,3523.3,3523.3,175,1171975
TCS_F2,03-10-2023,09:59:00,3522.55,3522.55,3521.5,3521.5,350,1173725
TCS_F2,03-10-2023,10:00:00,3520.45,3520.45,3518.7,3518.7,525,1173725
TCS_F2,03-10-2023,10:01:00,3518.7,3518.7,3518.0,3518.0,700,1173725
TCS_F2,03-10-2023,10:02:00,3518.0,3518.0,3518.0,3518.0,175,1173725
TCS_F2,03-10-2023,10:03:00,3517.0,3517.0,3516.8999,3516.8999,350,1173900
TCS_F2,03-10-2023,10:05:00,3516.8999,3516.8999,3516.8999,3516.8999,175,1173900
TCS_F2,03-10-2023,10:07:00,3518.05,3519.95,3518.05,3519.95,350,1174075
TCS_F2,03-10-2023,10:08:00,3515.0,3515.0,3511.0,3511.0,1225,1174950
TCS_F2,03-10-2023,10:10:00,3511.0,3511.0,3511.0,3511.0,175,1174950
TCS_F2,03-10-2023,10:12:00,3513.0,3513.0,3513.0,3513.0,175,1174775
TCS_F2,03-10-2023,10:13:00,3514.05,3514.05,3514.0,3514.0,525,1174775
TCS_F2,03-10-2023,10:14:00,3512.55,3512.55,3511.95,3511.95,350,1174600
TCS_F2,03-10-2023,10:15:00,3512.55,3512.55,3512.55,3512.55,175,1174600
TCS_F2,03-10-2023,10:17:00,3518.45,3520.0,3518.45,3520.0,700,1174075
TCS_F2,03-10-2023,10:19:00,3524.8999,3526.3,3524.8999,3526.3,525,1174075
TCS_F2,03-10-2023,10:20:00,3526.3,3526.3,3526.3,3526.3,175,1174075
TCS_F2,03-10-2023,10:22:00,3524.8501,3524.8501,3524.8501,3524.8501,175,1174075
TCS_F2,03-10-2023,10:27:00,3529.25,3529.25,3529.25,3529.25,700,1173900
TCS_F2,03-10-2023,10:30:00,3534.3999,3534.3999,3534.3999,3534.3999,175,1174250
TCS_F2,03-10-2023,10:32:00,3532.2,3532.5,3532.2,3532.5,350,1174250
TCS_F2,03-10-2023,10:33:00,3531.5,3531.5,3531.05,3531.05,525,1173900
TCS_F2,03-10-2023,10:38:00,3521.0,3521.0,3521.0,3521.0,700,1173900
TCS_F2,03-10-2023,10:41:00,3521.0,3521.0,3521.0,3521.0,175,1174425
TCS_F2,03-10-2023,10:45:00,3517.8501,3517.8501,3517.8501,3517.8501,175,1174250
TCS_F2,03-10-2023,10:49:00,3520.05,3520.05,3520.05,3520.05,175,1174250
TCS_F2,03-10-2023,10:50:00,3523.7,3523.7,3523.7,3523.7,175,1174250
TCS_F2,03-10-2023,10:52:00,3522.2,3522.2,3521.8999,3522.2,525,1173900
TCS_F2,03-10-2023,10:53:00,3519.0,3519.8501,3519.0,3519.8501,875,1173900
TCS_F2,03-10-2023,10:54:00,3519.6499,3519.6499,3519.6499,3519.6499,175,1174250
TCS_F2,03-10-2023,10:55:00,3521.5,3521.5,3521.5,3521.5,175,1174250
TCS_F2,03-10-2023,10:56:00,3524.1001,3526.6001,3523.8,3526.6001,2100,1174775
TCS_F2,03-10-2023,10:58:00,3525.6499,3525.6499,3524.55,3524.55,875,1174775
TCS_F2,03-10-2023,11:00:00,3522.05,3522.05,3522.05,3522.05,175,1175300
TCS_F2,03-10-2023,11:02:00,3520.3501,3524.6499,3520.3501,3520.45,2275,1175300
TCS_F2,03-10-2023,11:06:00,3523.8501,3523.8501,3523.8501,3523.8501,350,1175475
TCS_F2,03-10-2023,11:08:00,3524.2,3524.2,3524.2,3524.2,350,1175650
TCS_F2,03-10-2023,11:09:00,3524.2,3524.2,3524.2,3524.2,175,1175650
TCS_F2,03-10-2023,11:15:00,3527.2,3527.2,3527.2,3527.2,175,1176000
TCS_F2,03-10-2023,11:18:00,3531.0,3531.0,3531.0,3531.0,175,1176175
TCS_F2,03-10-2023,11:20:00,3532.3,3532.3,3532.3,3532.3,175,1176175
TCS_F2,03-10-2023,11:23:00,3531.3999,3531.3999,3531.3999,3531.3999,175,1176175
TCS_F2,03-10-2023,11:24:00,3532.3,3532.5,3532.3,3532.5,525,1176175
TCS_F2,03-10-2023,11:30:00,3531.55,3535.5,3531.55,3535.5,525,1175825
TCS_F2,03-10-2023,11:31:00,3537.8501,3537.8501,3537.8501,3537.8501,350,1175825
TCS_F2,03-10-2023,11:32:00,3539.8999,3539.8999,3539.8999,3539.8999,350,1175825
TCS_F2,03-10-2023,11:39:00,3539.0,3539.0,3539.0,3539.0,350,1175475
TCS_F2,03-10-2023,11:42:00,3538.6499,3538.6499,3538.6499,3538.6499,175,1175475
TCS_F2,03-10-2023,11:43:00,3540.6001,3540.6001,3540.0,3540.0,350,1175475
TCS_F2,03-10-2023,11:48:00,3528.0,3528.0,3528.0,3528.0,175,1175475
TCS_F2,03-10-2023,12:14:00,3529.8999,3529.8999,3528.5,3528.5,350,1175650
TCS_F2,03-10-2023,12:16:00,3528.5,3528.5,3528.5,3528.5,175,1175475
TCS_F2,03-10-2023,12:25:00,3528.5,3528.5,3528.5,3528.5,175,1175650
TCS_F2,03-10-2023,12:50:00,3532.75,3532.75,3532.75,3532.75,175,1175825
TCS_F2,03-10-2023,13:01:00,3532.75,3532.75,3532.75,3532.75,175,1176000
TCS_F2,03-10-2023,13:03:00,3535.7,3535.7,3535.7,3535.7,175,1176000
TCS_F2,03-10-2023,13:05:00,3535.7,3535.7,3535.7,3535.7,175,1176175
TCS_F2,03-10-2023,13:06:00,3536.05,3536.05,3536.05,3536.05,175,1176000
TCS_F2,03-10-2023,13:08:00,3537.2,3537.2,3537.2,3537.2,175,1176000
TCS_F2,03-10-2023,13:16:00,3538.45,3538.45,3538.45,3538.45,175,1176000
TCS_F2,03-10-2023,13:19:00,3544.1499,3544.1499,3544.1499,3544.1499,350,1176175
