<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
AMBUJACEM_F3,09/01/2022,09:50:00,414.95,414.95,414.90,414.90,9002,64800
AMBUJACEM_F3,09/01/2022,09:51:00,416.90,416.90,416.90,416.90,1800,57600
AMBUJACEM_F3,09/01/2022,09:54:00,416.90,416.90,416.50,416.50,3600,57600
AMBUJACEM_F3,09/01/2022,09:57:00,416.50,416.50,416.50,416.50,1800,57600
AMBUJACEM_F3,09/01/2022,11:49:00,416.50,416.50,416.50,416.50,1800,57600
AMBUJACEM_F3,09/01/2022,13:50:00,419.25,419.25,419.25,419.25,1800,59400
AMBUJACEM_F3,09/01/2022,14:40:00,419.25,419.25,419.25,419.25,1800,61200
AMBUJACEM_F3,09/02/2022,09:24:00,412.95,412.95,412.95,412.95,1801,61200
AMBUJACEM_F3,09/02/2022,09:29:00,414.00,414.00,414.00,414.00,9000,59400
AMBUJACEM_F3,09/02/2022,10:19:00,414.50,414.50,414.50,414.50,1800,50400
AMBUJACEM_F3,09/02/2022,10:31:00,414.50,414.50,414.50,414.50,1800,52200
AMBUJACEM_F3,09/02/2022,11:34:00,415.10,415.10,415.10,415.10,1800,52200
AMBUJACEM_F3,09/02/2022,11:59:00,415.10,415.10,415.10,415.10,1800,52200
AMBUJACEM_F3,09/02/2022,12:19:00,415.85,415.85,415.85,415.85,1800,54000
AMBUJACEM_F3,09/02/2022,14:53:00,421.25,421.25,421.25,421.25,1800,54000
AMBUJACEM_F3,09/02/2022,15:08:00,422.20,422.20,422.20,422.20,1800,54000
AMBUJACEM_F3,09/02/2022,15:13:00,422.70,422.70,422.70,422.70,3600,54000
AMBUJACEM_F3,09/05/2022,09:15:00,422.50,422.50,422.50,422.50,1801,57600
AMBUJACEM_F3,09/05/2022,09:21:00,423.20,423.20,423.20,423.20,1800,57600
AMBUJACEM_F3,09/05/2022,09:26:00,423.20,423.20,423.20,423.20,1800,57600
AMBUJACEM_F3,09/05/2022,10:12:00,423.80,423.80,423.80,423.80,1800,59400
AMBUJACEM_F3,09/05/2022,11:32:00,423.80,423.80,423.80,423.80,1800,59400
AMBUJACEM_F3,09/05/2022,11:51:00,424.30,424.30,424.30,424.30,1800,61200
AMBUJACEM_F3,09/05/2022,12:32:00,424.30,424.30,424.30,424.30,3600,63000
AMBUJACEM_F3,09/05/2022,12:35:00,419.80,419.80,419.80,419.80,1800,61200
AMBUJACEM_F3,09/05/2022,13:30:00,419.80,419.80,419.80,419.80,1800,59400
AMBUJACEM_F3,09/05/2022,13:57:00,423.60,423.60,423.60,423.60,1800,59400
AMBUJACEM_F3,09/05/2022,15:16:00,423.30,423.30,423.30,423.30,1800,59400
AMBUJACEM_F3,09/05/2022,15:19:00,423.40,423.40,423.40,423.40,1800,59400
AMBUJACEM_F3,09/06/2022,09:15:00,424.00,424.00,424.00,424.00,1801,59400
AMBUJACEM_F3,09/06/2022,09:19:00,424.15,424.15,424.15,424.15,1800,61200
AMBUJACEM_F3,09/06/2022,10:31:00,424.45,424.45,424.45,424.45,1800,63000
AMBUJACEM_F3,09/06/2022,10:38:00,426.05,426.05,426.05,426.05,1800,63000
AMBUJACEM_F3,09/06/2022,11:07:00,426.85,426.85,426.85,426.85,3600,63000
AMBUJACEM_F3,09/06/2022,14:05:00,429.50,429.50,429.50,429.50,1800,64800
AMBUJACEM_F3,09/06/2022,14:25:00,431.15,431.15,431.15,431.15,3600,64800
AMBUJACEM_F3,09/06/2022,14:34:00,435.30,435.30,435.30,435.30,1800,68400
AMBUJACEM_F3,09/06/2022,14:37:00,435.95,435.95,435.95,435.95,1800,70200
AMBUJACEM_F3,09/06/2022,14:38:00,436.00,436.00,436.00,436.00,1800,70200
AMBUJACEM_F3,09/06/2022,14:41:00,436.00,436.00,436.00,436.00,1800,70200
AMBUJACEM_F3,09/06/2022,15:03:00,440.00,440.00,440.00,440.00,1800,72000
AMBUJACEM_F3,09/06/2022,15:11:00,442.00,442.00,442.00,442.00,1800,72000
