<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
APOLLOHOSP_F3,09/01/2022,09:34:00,4310.00,4310.00,4310.00,4310.00,126,1125
APOLLOHOSP_F3,09/02/2022,10:01:00,4400.00,4400.00,4400.00,4400.00,126,1000
APOLLOHOSP_F3,09/02/2022,14:19:00,4385.00,4385.00,4385.00,4385.00,125,1000
APOLLOHOSP_F3,09/05/2022,09:18:00,4323.90,4323.90,4323.90,4323.90,126,1000
APOLLOHOSP_F3,09/06/2022,09:22:00,4416.15,4416.15,4416.15,4416.15,126,1125
APOLLOHOSP_F3,09/06/2022,10:06:00,4460.00,4460.00,4460.00,4460.00,125,1125
APOLLOHOSP_F3,09/06/2022,10:16:00,4460.00,4460.00,4460.00,4460.00,125,1250
APOLLOHOSP_F3,09/06/2022,10:25:00,4430.00,4430.00,4430.00,4430.00,125,1250
APOLLOHOSP_F3,09/06/2022,11:34:00,4400.00,4400.00,4400.00,4400.00,125,1125
APOLLOHOSP_F3,09/06/2022,15:10:00,4400.00,4400.00,4400.00,4400.00,125,1125
APOLLOHOSP_F3,09/07/2022,09:17:00,4458.55,4458.55,4458.55,4458.55,126,1125
APOLLOHOSP_F3,09/07/2022,11:58:00,4400.55,4400.55,4400.55,4400.55,125,1250
APOLLOHOSP_F3,09/07/2022,12:21:00,4400.55,4400.55,4400.55,4400.55,125,1125
APOLLOHOSP_F3,09/07/2022,12:24:00,4413.25,4413.25,4413.25,4413.25,125,1250
APOLLOHOSP_F3,09/07/2022,15:13:00,4428.50,4428.50,4428.50,4428.50,125,1125
APOLLOHOSP_F3,09/08/2022,10:24:00,4489.00,4489.00,4489.00,4489.00,126,1000
APOLLOHOSP_F3,09/08/2022,10:57:00,4472.00,4472.00,4472.00,4472.00,125,1125
APOLLOHOSP_F3,09/08/2022,14:32:00,4455.00,4455.00,4455.00,4455.00,125,1000
APOLLOHOSP_F3,09/08/2022,15:00:00,4455.00,4455.00,4455.00,4455.00,125,1000
APOLLOHOSP_F3,09/09/2022,10:29:00,4500.00,4500.00,4500.00,4500.00,126,875
APOLLOHOSP_F3,09/09/2022,14:23:00,4514.00,4514.00,4514.00,4514.00,125,1000
APOLLOHOSP_F3,09/09/2022,15:10:00,4516.00,4516.00,4516.00,4516.00,125,1125
APOLLOHOSP_F3,09/13/2022,09:37:00,4579.35,4579.35,4579.35,4579.35,126,1250
APOLLOHOSP_F3,09/13/2022,09:42:00,4570.00,4570.00,4570.00,4570.00,250,1375
APOLLOHOSP_F3,09/13/2022,09:43:00,4570.00,4570.00,4570.00,4570.00,125,1375
APOLLOHOSP_F3,09/13/2022,12:33:00,4555.00,4555.00,4555.00,4555.00,125,1375
APOLLOHOSP_F3,09/14/2022,09:47:00,4500.00,4500.00,4500.00,4500.00,126,1375
APOLLOHOSP_F3,09/14/2022,13:53:00,4504.00,4504.00,4504.00,4504.00,125,1500
APOLLOHOSP_F3,09/14/2022,14:40:00,4521.10,4521.10,4521.10,4521.10,125,1375
APOLLOHOSP_F3,09/14/2022,14:59:00,4521.10,4521.10,4521.10,4521.10,125,1375
APOLLOHOSP_F3,09/15/2022,15:19:00,4401.00,4401.00,4401.00,4401.00,126,1500
APOLLOHOSP_F3,09/16/2022,10:33:00,4391.40,4391.40,4391.40,4391.40,126,1375
APOLLOHOSP_F3,09/16/2022,15:27:00,4362.80,4362.80,4362.80,4362.80,125,1375
APOLLOHOSP_F3,09/20/2022,12:26:00,4515.05,4515.05,4515.00,4515.00,252,1500
APOLLOHOSP_F3,09/20/2022,12:28:00,4515.00,4515.00,4515.00,4515.00,125,1250
APOLLOHOSP_F3,09/20/2022,12:54:00,4529.00,4529.00,4529.00,4529.00,125,1125
APOLLOHOSP_F3,09/20/2022,13:09:00,4579.80,4586.30,4579.80,4586.30,250,1250
APOLLOHOSP_F3,09/20/2022,13:11:00,4592.85,4595.70,4592.85,4595.70,250,1250
APOLLOHOSP_F3,09/20/2022,13:35:00,4640.00,4640.00,4640.00,4640.00,125,1625
APOLLOHOSP_F3,09/20/2022,13:39:00,4640.00,4640.00,4640.00,4640.00,125,1750
APOLLOHOSP_F3,09/20/2022,14:04:00,4600.00,4600.00,4600.00,4600.00,375,1875
APOLLOHOSP_F3,09/20/2022,14:15:00,4625.00,4625.00,4625.00,4625.00,125,1875
APOLLOHOSP_F3,09/20/2022,14:26:00,4608.15,4608.15,4608.15,4608.15,125,2000
APOLLOHOSP_F3,09/20/2022,15:12:00,4608.15,4608.15,4608.15,4608.15,125,2000
APOLLOHOSP_F3,09/20/2022,15:29:00,4617.90,4617.90,4617.90,4617.90,125,2125
APOLLOHOSP_F3,09/21/2022,09:15:00,4617.90,4617.90,4617.90,4617.90,126,2250
APOLLOHOSP_F3,09/21/2022,09:18:00,4620.00,4620.00,4620.00,4620.00,125,2375
APOLLOHOSP_F3,09/21/2022,09:29:00,4644.20,4644.20,4644.20,4644.20,125,2375
APOLLOHOSP_F3,09/21/2022,09:37:00,4667.90,4680.00,4667.90,4680.00,250,2500
APOLLOHOSP_F3,09/21/2022,09:44:00,4699.90,4699.90,4699.90,4699.90,125,2750
APOLLOHOSP_F3,09/21/2022,09:45:00,4710.45,4710.45,4710.45,4710.45,125,2875
APOLLOHOSP_F3,09/21/2022,09:46:00,4710.45,4710.45,4710.45,4710.45,125,2875
APOLLOHOSP_F3,09/21/2022,09:48:00,4682.20,4682.20,4682.20,4682.20,125,3125
APOLLOHOSP_F3,09/21/2022,09:53:00,4700.00,4700.00,4700.00,4700.00,250,3125
APOLLOHOSP_F3,09/21/2022,09:58:00,4684.50,4684.50,4684.50,4684.50,125,3250
APOLLOHOSP_F3,09/21/2022,10:47:00,4684.60,4684.60,4684.60,4684.60,125,3250
APOLLOHOSP_F3,09/21/2022,11:08:00,4685.00,4685.00,4685.00,4685.00,125,3375
APOLLOHOSP_F3,09/21/2022,13:24:00,4662.80,4662.80,4662.80,4662.80,125,3250
APOLLOHOSP_F3,09/21/2022,13:35:00,4658.00,4658.00,4658.00,4658.00,125,3375
APOLLOHOSP_F3,09/21/2022,14:35:00,4650.00,4650.00,4650.00,4650.00,125,3375
APOLLOHOSP_F3,09/21/2022,14:59:00,4650.90,4650.90,4650.90,4650.90,250,3500
APOLLOHOSP_F3,09/21/2022,15:26:00,4650.05,4650.05,4650.05,4650.05,125,3625
APOLLOHOSP_F3,09/22/2022,09:57:00,4649.55,4649.55,4649.55,4649.55,126,3625
APOLLOHOSP_F3,09/22/2022,10:05:00,4651.05,4651.05,4651.05,4651.05,250,3500
APOLLOHOSP_F3,09/22/2022,10:41:00,4651.05,4651.05,4608.05,4608.05,250,3625
APOLLOHOSP_F3,09/22/2022,10:58:00,4605.00,4605.00,4605.00,4605.00,125,3500
APOLLOHOSP_F3,09/22/2022,10:59:00,4600.05,4600.05,4600.00,4600.00,375,3500
APOLLOHOSP_F3,09/22/2022,11:16:00,4585.00,4585.00,4585.00,4585.00,125,3500
APOLLOHOSP_F3,09/22/2022,11:49:00,4585.00,4585.00,4585.00,4585.00,125,3500
APOLLOHOSP_F3,09/22/2022,12:13:00,4640.00,4640.00,4640.00,4640.00,125,3500
APOLLOHOSP_F3,09/22/2022,12:23:00,4645.40,4645.40,4645.40,4645.40,125,3375
APOLLOHOSP_F3,09/22/2022,13:20:00,4665.00,4665.00,4665.00,4665.00,125,3250
