<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
INDUSINDBK_F3,09/01/2022,09:32:00,1126.25,1126.25,1126.25,1126.25,901,12600
INDUSINDBK_F3,09/01/2022,10:40:00,1126.25,1126.25,1126.25,1126.25,900,12600
INDUSINDBK_F3,09/01/2022,11:14:00,1128.00,1128.00,1128.00,1128.00,900,13500
INDUSINDBK_F3,09/01/2022,11:15:00,1128.00,1128.00,1128.00,1128.00,900,14400
INDUSINDBK_F3,09/01/2022,11:20:00,1128.00,1128.00,1128.00,1128.00,900,14400
INDUSINDBK_F3,09/01/2022,11:46:00,1122.95,1122.95,1122.95,1122.95,900,15300
INDUSINDBK_F3,09/01/2022,11:57:00,1121.00,1121.00,1121.00,1121.00,900,16200
INDUSINDBK_F3,09/01/2022,12:44:00,1121.00,1121.00,1121.00,1121.00,900,16200
INDUSINDBK_F3,09/01/2022,14:08:00,1128.40,1128.40,1117.90,1117.90,2700,16200
INDUSINDBK_F3,09/01/2022,14:19:00,1118.15,1118.15,1118.15,1118.15,900,17100
INDUSINDBK_F3,09/02/2022,09:23:00,1121.50,1121.50,1121.50,1121.50,901,18000
INDUSINDBK_F3,09/02/2022,09:32:00,1120.75,1120.75,1120.75,1120.75,900,17100
INDUSINDBK_F3,09/02/2022,09:40:00,1115.00,1115.00,1115.00,1115.00,900,17100
INDUSINDBK_F3,09/02/2022,09:57:00,1112.00,1112.00,1112.00,1112.00,900,16200
INDUSINDBK_F3,09/02/2022,09:59:00,1112.00,1112.00,1112.00,1112.00,900,16200
INDUSINDBK_F3,09/02/2022,10:09:00,1115.95,1116.00,1115.95,1116.00,1800,17100
INDUSINDBK_F3,09/02/2022,10:11:00,1115.55,1115.55,1115.55,1115.55,900,17100
INDUSINDBK_F3,09/02/2022,10:41:00,1114.80,1114.80,1114.80,1114.80,1800,17100
INDUSINDBK_F3,09/02/2022,11:01:00,1113.80,1113.80,1113.80,1113.80,1800,17100
INDUSINDBK_F3,09/02/2022,11:46:00,1114.80,1114.80,1114.80,1114.80,900,16200
INDUSINDBK_F3,09/02/2022,13:48:00,1117.20,1117.20,1117.20,1117.20,1800,17100
INDUSINDBK_F3,09/02/2022,15:09:00,1116.00,1116.00,1116.00,1116.00,900,17100
INDUSINDBK_F3,09/02/2022,15:12:00,1117.05,1117.05,1117.05,1117.05,900,18000
INDUSINDBK_F3,09/05/2022,09:15:00,1121.05,1121.05,1121.05,1121.05,901,18000
INDUSINDBK_F3,09/05/2022,09:27:00,1124.05,1124.05,1124.05,1124.05,900,18900
INDUSINDBK_F3,09/05/2022,09:46:00,1124.05,1124.05,1124.05,1124.05,900,19800
INDUSINDBK_F3,09/05/2022,14:17:00,1117.70,1117.70,1117.70,1117.70,900,19800
INDUSINDBK_F3,09/05/2022,14:18:00,1123.55,1123.55,1123.55,1123.55,900,20700
INDUSINDBK_F3,09/05/2022,15:04:00,1125.00,1125.00,1125.00,1125.00,900,20700
INDUSINDBK_F3,09/05/2022,15:12:00,1125.00,1125.00,1125.00,1125.00,900,21600
INDUSINDBK_F3,09/05/2022,15:29:00,1125.00,1125.00,1125.00,1125.00,900,21600
INDUSINDBK_F3,09/06/2022,09:21:00,1129.00,1129.00,1129.00,1129.00,901,21600
INDUSINDBK_F3,09/06/2022,11:47:00,1118.40,1118.40,1118.40,1118.40,900,21600
INDUSINDBK_F3,09/07/2022,09:16:00,1111.40,1111.40,1105.00,1105.00,2702,22500
INDUSINDBK_F3,09/07/2022,09:22:00,1105.00,1105.00,1105.00,1105.00,900,19800
INDUSINDBK_F3,09/07/2022,09:27:00,1105.00,1105.00,1103.85,1103.85,2700,19800
INDUSINDBK_F3,09/07/2022,09:36:00,1103.85,1103.85,1103.85,1103.85,900,20700
INDUSINDBK_F3,09/07/2022,09:38:00,1103.85,1103.85,1103.85,1103.85,900,21600
INDUSINDBK_F3,09/07/2022,12:36:00,1104.40,1104.40,1104.40,1104.40,900,22500
INDUSINDBK_F3,09/07/2022,12:46:00,1104.40,1104.40,1104.40,1104.40,900,21600
INDUSINDBK_F3,09/07/2022,13:31:00,1107.05,1107.05,1107.05,1107.05,900,21600
INDUSINDBK_F3,09/07/2022,13:54:00,1102.75,1102.75,1102.75,1102.75,900,20700
INDUSINDBK_F3,09/07/2022,15:14:00,1102.75,1102.75,1102.75,1102.75,900,19800
INDUSINDBK_F3,09/07/2022,15:29:00,1106.50,1106.50,1106.50,1106.50,900,19800
INDUSINDBK_F3,09/08/2022,09:23:00,1112.00,1112.00,1112.00,1112.00,901,19800
INDUSINDBK_F3,09/08/2022,10:01:00,1116.50,1116.50,1116.50,1116.50,900,19800
INDUSINDBK_F3,09/08/2022,10:17:00,1125.00,1125.00,1125.00,1125.00,1800,19800
INDUSINDBK_F3,09/08/2022,11:29:00,1125.00,1125.00,1125.00,1125.00,1800,20700
INDUSINDBK_F3,09/08/2022,11:34:00,1125.50,1125.50,1125.50,1125.50,900,20700
INDUSINDBK_F3,09/08/2022,11:43:00,1128.80,1128.80,1128.80,1128.80,900,21600
INDUSINDBK_F3,09/08/2022,11:49:00,1128.80,1128.80,1128.80,1128.80,900,22500
INDUSINDBK_F3,09/08/2022,12:12:00,1127.30,1127.30,1127.30,1127.30,900,23400
INDUSINDBK_F3,09/08/2022,12:42:00,1128.00,1128.00,1128.00,1128.00,1800,24300
INDUSINDBK_F3,09/08/2022,14:35:00,1130.00,1130.00,1130.00,1130.00,900,26100
INDUSINDBK_F3,09/08/2022,14:36:00,1130.00,1130.00,1130.00,1130.00,900,26100
INDUSINDBK_F3,09/08/2022,15:13:00,1123.00,1123.00,1123.00,1123.00,900,26100
INDUSINDBK_F3,09/08/2022,15:15:00,1122.75,1122.75,1122.75,1122.75,900,26100
INDUSINDBK_F3,09/08/2022,15:21:00,1125.85,1125.90,1125.85,1125.90,1800,26100
INDUSINDBK_F3,09/08/2022,15:22:00,1125.90,1125.90,1125.90,1125.90,900,26100
INDUSINDBK_F3,09/08/2022,15:23:00,1126.00,1126.00,1126.00,1126.00,900,26100
