<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> 
AARTIIND_F3,01-09-2023,15:07:00,501.5,501.5,501.5,501.5,1001,0
AARTIIND_F3,04-09-2023,10:44:00,504.95,504.95,504.95,504.95,1001,1000
AARTIIND_F3,04-09-2023,10:58:00,507.7,507.7,507.7,507.7,1000,2000
AARTIIND_F3,04-09-2023,11:00:00,507.7,507.7,507.7,507.7,1000,3000
AARTIIND_F3,04-09-2023,11:31:00,506.25,506.25,506.25,506.25,1000,4000
AARTIIND_F3,04-09-2023,12:37:00,507.5,507.5,507.5,507.5,1000,5000
AARTIIND_F3,04-09-2023,13:32:00,510.0,510.0,510.0,510.0,1000,6000
AARTIIND_F3,04-09-2023,14:10:00,511.0,511.0,511.0,511.0,1000,6000
AARTIIND_F3,04-09-2023,14:20:00,511.0,511.0,511.0,511.0,1000,7000
AARTIIND_F3,04-09-2023,14:31:00,511.65,511.65,511.65,511.65,1000,8000
AARTIIND_F3,04-09-2023,14:32:00,511.65,511.65,511.65,511.65,1000,8000
AARTIIND_F3,04-09-2023,14:34:00,511.2,511.2,511.2,511.2,1000,10000
AARTIIND_F3,04-09-2023,14:35:00,510.5,510.5,510.5,510.5,3000,10000
AARTIIND_F3,04-09-2023,14:36:00,510.5,510.5,510.5,510.5,1000,14000
AARTIIND_F3,04-09-2023,14:37:00,510.5,510.5,510.5,510.5,1000,14000
AARTIIND_F3,04-09-2023,14:54:00,510.1,510.1,510.1,510.1,2000,15000
AARTIIND_F3,04-09-2023,15:29:00,508.2,508.2,508.2,508.2,1,17000
AARTIIND_F3,05-09-2023,09:20:00,514.0,514.0,514.0,514.0,1001,17000
AARTIIND_F3,05-09-2023,09:22:00,514.0,514.2,514.0,514.2,2000,18000
AARTIIND_F3,05-09-2023,09:43:00,516.65,516.65,516.65,516.65,1000,20000
AARTIIND_F3,05-09-2023,09:53:00,520.2,520.2,520.2,520.2,2000,21000
AARTIIND_F3,05-09-2023,09:55:00,521.0,521.0,521.0,521.0,1000,23000
AARTIIND_F3,05-09-2023,09:59:00,521.0,521.0,521.0,521.0,1000,23000
AARTIIND_F3,05-09-2023,10:02:00,522.4,522.4,522.4,522.4,1000,23000
AARTIIND_F3,05-09-2023,10:14:00,524.0,524.0,524.0,524.0,1000,24000
AARTIIND_F3,05-09-2023,10:21:00,524.0,524.0,524.0,524.0,2000,25000
AARTIIND_F3,05-09-2023,10:23:00,519.0,519.0,519.0,519.0,1000,25000
AARTIIND_F3,05-09-2023,10:37:00,518.0,518.0,518.0,518.0,1000,28000
AARTIIND_F3,05-09-2023,11:20:00,518.2,518.2,518.2,518.2,4000,29000
AARTIIND_F3,05-09-2023,11:21:00,518.2,518.2,518.2,518.2,1000,33000
AARTIIND_F3,05-09-2023,11:36:00,518.2,518.2,518.2,518.2,2000,34000
AARTIIND_F3,05-09-2023,11:45:00,518.2,518.2,518.2,518.2,1000,36000
AARTIIND_F3,05-09-2023,11:53:00,520.5,520.5,520.5,520.5,1000,37000
AARTIIND_F3,05-09-2023,12:30:00,516.5,516.5,516.5,516.5,1000,38000
AARTIIND_F3,05-09-2023,12:34:00,515.0,515.0,515.0,515.0,1000,39000
AARTIIND_F3,05-09-2023,12:41:00,512.55,512.55,512.55,512.55,1000,40000
AARTIIND_F3,05-09-2023,14:45:00,512.55,512.55,512.55,512.55,1000,41000
AARTIIND_F3,05-09-2023,14:48:00,515.7,515.7,515.0,515.0,6000,45000
AARTIIND_F3,05-09-2023,14:55:00,515.75,515.75,515.75,515.75,3000,46000
AARTIIND_F3,05-09-2023,15:03:00,515.75,515.75,515.75,515.75,2000,49000
AARTIIND_F3,05-09-2023,15:18:00,515.75,515.75,515.75,515.75,1000,51000
AARTIIND_F3,06-09-2023,09:29:00,515.75,515.75,515.75,515.75,1001,52000
AARTIIND_F3,06-09-2023,10:00:00,518.25,518.25,518.25,518.25,1000,51000
AARTIIND_F3,06-09-2023,10:48:00,520.0,520.0,520.0,520.0,1000,52000
AARTIIND_F3,06-09-2023,12:35:00,522.9,522.9,522.9,522.9,1000,52000
AARTIIND_F3,06-09-2023,12:57:00,522.9,522.9,522.9,522.9,1000,53000
AARTIIND_F3,06-09-2023,13:07:00,523.0,523.0,523.0,523.0,1000,52000
AARTIIND_F3,06-09-2023,14:42:00,525.0,525.0,525.0,525.0,1000,51000
AARTIIND_F3,06-09-2023,14:48:00,526.0,526.0,526.0,526.0,1000,50000
AARTIIND_F3,06-09-2023,14:52:00,526.0,526.0,526.0,526.0,2000,51000
AARTIIND_F3,06-09-2023,15:00:00,527.0,527.0,527.0,527.0,2000,51000
AARTIIND_F3,06-09-2023,15:06:00,527.0,527.0,527.0,527.0,1000,50000
AARTIIND_F3,06-09-2023,15:10:00,526.2,526.2,526.2,526.2,1000,51000
AARTIIND_F3,06-09-2023,15:25:00,524.2,524.2,524.2,524.2,1000,51000
AARTIIND_F3,07-09-2023,09:16:00,528.4,528.4,528.4,528.4,1001,53000
AARTIIND_F3,07-09-2023,09:39:00,522.95,522.95,522.95,522.95,1000,54000
AARTIIND_F3,07-09-2023,09:52:00,522.95,522.95,522.95,522.95,1000,53000
AARTIIND_F3,07-09-2023,10:00:00,527.3,527.3,527.3,527.3,1000,54000
AARTIIND_F3,07-09-2023,10:16:00,525.8,526.5,525.8,526.5,2000,55000
AARTIIND_F3,07-09-2023,12:29:00,530.4,530.4,530.4,530.4,1000,57000
AARTIIND_F3,07-09-2023,12:31:00,530.75,530.75,530.75,530.75,1000,58000
AARTIIND_F3,07-09-2023,12:36:00,531.6,531.6,531.6,531.6,1000,57000
AARTIIND_F3,07-09-2023,12:51:00,531.6,531.6,531.6,531.6,1000,58000
AARTIIND_F3,07-09-2023,13:01:00,532.0,532.0,532.0,532.0,3000,59000
AARTIIND_F3,07-09-2023,13:04:00,531.6,531.6,531.6,531.6,1000,62000
AARTIIND_F3,07-09-2023,13:07:00,531.6,531.6,531.6,531.6,1000,63000
AARTIIND_F3,07-09-2023,13:27:00,530.25,530.25,530.25,530.25,1000,64000
AARTIIND_F3,07-09-2023,13:45:00,530.1,530.1,530.1,530.1,1000,65000
