<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> 
AMBUJACEM_F3,01-09-2023,11:28:00,440.05,440.05,440.05,440.05,1801,0
AMBUJACEM_F3,04-09-2023,09:51:00,450.7,450.7,450.7,450.7,1801,1800
AMBUJACEM_F3,04-09-2023,10:13:00,450.25,450.25,450.25,450.25,1800,3600
AMBUJACEM_F3,04-09-2023,10:49:00,449.45,449.45,449.45,449.45,1800,5400
AMBUJACEM_F3,04-09-2023,12:32:00,449.45,449.45,449.45,449.45,1800,7200
AMBUJACEM_F3,04-09-2023,12:33:00,451.1,451.1,451.1,451.1,1800,9000
AMBUJACEM_F3,04-09-2023,12:45:00,451.1,451.1,451.1,451.1,1800,10800
AMBUJACEM_F3,04-09-2023,12:51:00,452.6,452.6,452.6,452.6,1800,9000
AMBUJACEM_F3,04-09-2023,13:03:00,452.6,452.6,452.6,452.6,1800,10800
AMBUJACEM_F3,04-09-2023,13:41:00,452.4,452.4,452.4,452.4,1800,12600
AMBUJACEM_F3,04-09-2023,15:03:00,450.6,450.6,450.6,450.6,1800,10800
AMBUJACEM_F3,04-09-2023,15:29:00,450.6,450.6,450.6,450.6,1,12600
AMBUJACEM_F3,05-09-2023,10:00:00,450.0,450.0,450.0,450.0,1801,12600
AMBUJACEM_F3,05-09-2023,10:17:00,449.0,449.0,449.0,449.0,1800,14400
AMBUJACEM_F3,05-09-2023,10:39:00,448.0,448.0,448.0,448.0,1800,16200
AMBUJACEM_F3,05-09-2023,11:26:00,448.0,448.0,448.0,448.0,1800,18000
AMBUJACEM_F3,05-09-2023,14:53:00,448.75,448.75,448.75,448.75,1800,19800
AMBUJACEM_F3,05-09-2023,14:54:00,448.65,448.65,448.65,448.65,1800,21600
AMBUJACEM_F3,06-09-2023,09:25:00,448.0,448.0,448.0,448.0,1801,23400
AMBUJACEM_F3,06-09-2023,11:22:00,448.0,448.0,448.0,448.0,1800,25200
AMBUJACEM_F3,06-09-2023,12:42:00,444.0,444.0,444.0,444.0,14400,27000
AMBUJACEM_F3,06-09-2023,12:47:00,443.9,443.9,443.9,443.9,1800,30600
AMBUJACEM_F3,06-09-2023,12:57:00,443.25,443.25,443.25,443.25,1800,30600
AMBUJACEM_F3,06-09-2023,15:13:00,443.25,443.25,443.25,443.25,1800,32400
AMBUJACEM_F3,07-09-2023,12:38:00,446.4,446.4,446.4,446.4,3601,34200
AMBUJACEM_F3,07-09-2023,14:22:00,447.5,447.5,447.5,447.5,1800,37800
AMBUJACEM_F3,08-09-2023,12:42:00,448.85,448.85,448.85,448.85,1801,0
AMBUJACEM_F3,08-09-2023,15:01:00,447.95,447.95,447.95,447.95,1800,41400
AMBUJACEM_F3,08-09-2023,15:28:00,446.75,446.75,446.75,446.75,1800,41400
AMBUJACEM_F3,11-09-2023,09:58:00,450.3,450.3,450.3,450.3,1801,43200
AMBUJACEM_F3,11-09-2023,10:39:00,451.5,451.5,451.5,451.5,1800,41400
AMBUJACEM_F3,11-09-2023,12:02:00,451.5,451.5,451.5,451.5,1800,43200
AMBUJACEM_F3,11-09-2023,12:06:00,454.0,454.0,454.0,454.0,1800,41400
AMBUJACEM_F3,11-09-2023,12:07:00,455.0,455.0,455.0,455.0,1800,41400
AMBUJACEM_F3,11-09-2023,12:38:00,455.8,455.8,455.8,455.8,1800,37800
AMBUJACEM_F3,11-09-2023,12:45:00,455.8,455.8,455.8,455.8,1800,37800
AMBUJACEM_F3,11-09-2023,12:48:00,455.35,455.35,455.35,455.35,1800,37800
AMBUJACEM_F3,11-09-2023,13:29:00,456.05,456.05,456.05,456.05,1800,39600
AMBUJACEM_F3,11-09-2023,14:22:00,457.65,457.65,457.65,457.65,1800,41400
AMBUJACEM_F3,11-09-2023,14:27:00,457.8,457.8,457.8,457.8,1800,39600
AMBUJACEM_F3,11-09-2023,14:38:00,461.0,461.0,461.0,461.0,1800,37800
AMBUJACEM_F3,11-09-2023,15:29:00,461.0,461.0,461.0,461.0,1800,37800
AMBUJACEM_F3,12-09-2023,09:17:00,458.1,458.1,458.1,458.1,1801,37800
AMBUJACEM_F3,12-09-2023,11:32:00,456.6,456.6,456.6,456.6,1800,39600
AMBUJACEM_F3,12-09-2023,11:34:00,456.6,456.6,456.6,456.6,1800,41400
AMBUJACEM_F3,12-09-2023,12:58:00,451.65,451.65,451.65,451.65,5400,43200
AMBUJACEM_F3,13-09-2023,11:45:00,451.95,451.95,451.95,451.95,1801,45000
AMBUJACEM_F3,13-09-2023,13:15:00,452.8,452.8,452.8,452.8,1800,45000
AMBUJACEM_F3,13-09-2023,13:49:00,452.8,452.8,452.8,452.8,1800,46800
AMBUJACEM_F3,13-09-2023,14:11:00,450.3,450.3,450.3,450.3,1800,48600
