<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> 
INDIACEM_F3,01-09-2023,10:46:00,241.75,241.75,241.75,241.75,5801,0
INDIACEM_F3,01-09-2023,14:02:00,255.0,255.0,255.0,255.0,8700,5800
INDIACEM_F3,01-09-2023,14:30:00,260.2,260.2,260.2,260.2,2900,14500
INDIACEM_F3,01-09-2023,14:33:00,261.9,261.9,261.9,261.9,8700,14500
INDIACEM_F3,01-09-2023,14:49:00,264.75,264.75,264.75,264.75,2900,14500
INDIACEM_F3,01-09-2023,14:51:00,264.75,264.75,264.75,264.75,5800,14500
INDIACEM_F3,01-09-2023,14:55:00,262.0,262.0,262.0,262.0,2900,14500
INDIACEM_F3,01-09-2023,15:00:00,263.15,263.15,263.15,263.15,2900,17400
INDIACEM_F3,04-09-2023,09:17:00,266.5,266.5,266.5,266.5,2901,20300
INDIACEM_F3,04-09-2023,09:30:00,265.0,265.0,265.0,265.0,5800,23200
INDIACEM_F3,04-09-2023,09:39:00,265.0,265.3,265.0,265.3,5800,23200
INDIACEM_F3,04-09-2023,09:41:00,264.9,264.9,264.9,264.9,8700,31900
INDIACEM_F3,04-09-2023,09:42:00,265.75,265.75,265.75,265.75,2900,31900
INDIACEM_F3,04-09-2023,11:28:00,262.5,262.5,262.5,262.5,2900,40600
INDIACEM_F3,04-09-2023,11:30:00,262.5,262.5,262.5,262.5,2900,43500
INDIACEM_F3,04-09-2023,11:44:00,262.0,262.0,262.0,262.0,2900,46400
INDIACEM_F3,04-09-2023,12:54:00,262.0,262.0,262.0,262.0,2900,49300
INDIACEM_F3,04-09-2023,13:04:00,264.6,264.6,264.6,264.6,2900,52200
INDIACEM_F3,04-09-2023,13:06:00,264.5,264.5,264.5,264.5,2900,52200
INDIACEM_F3,04-09-2023,13:09:00,264.5,264.5,264.5,264.5,2900,52200
INDIACEM_F3,04-09-2023,13:21:00,263.35,263.35,263.35,263.35,2900,55100
INDIACEM_F3,04-09-2023,13:25:00,263.55,263.55,263.55,263.55,5800,58000
INDIACEM_F3,04-09-2023,13:32:00,263.3,263.3,263.3,263.3,2900,63800
INDIACEM_F3,04-09-2023,13:45:00,263.15,263.15,263.15,263.15,2900,66700
INDIACEM_F3,04-09-2023,13:48:00,263.5,263.5,263.5,263.5,29000,69600
INDIACEM_F3,04-09-2023,13:52:00,262.9,262.9,262.9,262.9,2900,87000
INDIACEM_F3,04-09-2023,13:55:00,263.05,263.05,263.05,263.05,5800,89900
INDIACEM_F3,04-09-2023,15:25:00,260.6,260.6,260.6,260.6,2900,95700
INDIACEM_F3,04-09-2023,15:29:00,260.6,260.6,260.6,260.6,2900,92800
INDIACEM_F3,05-09-2023,10:21:00,258.0,258.0,258.0,258.0,2901,92800
INDIACEM_F3,20-09-2023,11:29:00,244.7,244.7,244.7,244.7,2901,89900
INDIACEM_F3,20-09-2023,11:30:00,245.35,245.35,245.35,245.35,2900,89900
INDIACEM_F3,20-09-2023,12:05:00,245.35,245.35,245.35,245.35,2900,89900
INDIACEM_F3,20-09-2023,13:40:00,242.0,242.0,242.0,242.0,26100,89900
INDIACEM_F3,20-09-2023,13:46:00,242.0,242.0,242.0,242.0,2900,107300
INDIACEM_F3,20-09-2023,13:48:00,242.0,242.0,242.0,242.0,5800,107300
INDIACEM_F3,20-09-2023,13:50:00,240.3,240.3,240.3,240.3,2900,116000
INDIACEM_F3,20-09-2023,14:26:00,240.3,240.3,240.3,240.3,2900,116000
INDIACEM_F3,20-09-2023,15:14:00,242.95,242.95,242.95,242.95,2900,116000
INDIACEM_F3,21-09-2023,09:31:00,240.25,240.25,240.25,240.25,2901,116000
INDIACEM_F3,21-09-2023,10:27:00,241.0,241.0,241.0,241.0,2900,113100
INDIACEM_F3,21-09-2023,14:16:00,241.0,241.0,241.0,241.0,2900,116000
INDIACEM_F3,21-09-2023,14:18:00,235.6,235.6,235.6,235.6,2900,116000
INDIACEM_F3,21-09-2023,14:43:00,235.6,235.6,235.6,235.6,2900,118900
INDIACEM_F3,25-09-2023,10:31:00,237.0,237.0,237.0,237.0,2900,121800
INDIACEM_F3,25-09-2023,12:03:00,235.0,235.0,235.0,235.0,5800,124700
INDIACEM_F3,25-09-2023,12:31:00,237.0,237.0,237.0,237.0,2900,130500
INDIACEM_F3,25-09-2023,12:53:00,238.05,238.05,238.05,238.05,2900,127600
INDIACEM_F3,25-09-2023,14:14:00,238.05,238.05,238.05,238.05,2900,127600
INDIACEM_F3,25-09-2023,14:34:00,236.85,236.85,236.85,236.85,14500,130500
INDIACEM_F3,26-09-2023,09:21:00,236.6,236.6,236.6,236.6,2901,145000
INDIACEM_F3,26-09-2023,09:38:00,240.2,240.2,240.2,240.2,2900,145000
INDIACEM_F3,26-09-2023,09:50:00,242.5,242.5,242.5,242.5,2900,145000
INDIACEM_F3,26-09-2023,09:52:00,243.4,243.4,243.4,243.4,2900,142100
INDIACEM_F3,26-09-2023,09:53:00,243.75,243.75,243.75,243.75,2900,142100
INDIACEM_F3,26-09-2023,13:03:00,243.75,243.75,243.75,243.75,2900,145000
INDIACEM_F3,26-09-2023,13:57:00,235.4,235.4,235.4,235.4,2900,147900
INDIACEM_F3,26-09-2023,14:00:00,236.7,236.7,236.7,236.7,2900,147900
INDIACEM_F3,26-09-2023,14:28:00,236.5,236.5,236.5,236.5,2900,153700
INDIACEM_F3,26-09-2023,15:05:00,236.1,236.1,236.1,236.1,2900,156600
INDIACEM_F3,26-09-2023,15:08:00,235.9,235.9,235.9,235.9,2900,159500
INDIACEM_F3,26-09-2023,15:18:00,236.6,236.6,236.6,236.6,2900,159500
INDIACEM_F3,27-09-2023,13:35:00,240.0,240.0,240.0,240.0,2901,156600
