<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> 
LTTS_F3,04-09-2023,14:06:00,4557.0498,4557.0498,4557.0498,4557.0498,201,0
LTTS_F3,04-09-2023,15:29:00,4598.9502,4598.9502,4598.9502,4598.9502,1,200
LTTS_F3,05-09-2023,11:59:00,4663.0498,4663.0498,4663.0498,4663.0498,401,200
LTTS_F3,05-09-2023,14:49:00,4625.8501,4625.8501,4625.8501,4625.8501,200,600
LTTS_F3,06-09-2023,09:54:00,4700.0,4700.0,4700.0,4700.0,201,800
LTTS_F3,06-09-2023,10:25:00,4650.0,4650.0,4650.0,4650.0,200,1000
LTTS_F3,06-09-2023,10:27:00,4650.0,4650.0,4650.0,4650.0,200,1200
LTTS_F3,06-09-2023,12:19:00,4600.0,4600.0,4600.0,4600.0,200,1400
LTTS_F3,06-09-2023,15:24:00,4600.0,4600.0,4600.0,4600.0,200,1600
LTTS_F3,06-09-2023,15:27:00,4616.6001,4616.9502,4616.6001,4616.9502,600,1600
LTTS_F3,07-09-2023,10:45:00,4642.6001,4642.6001,4642.6001,4642.6001,201,2000
LTTS_F3,07-09-2023,12:42:00,4654.2002,4654.2002,4654.2002,4654.2002,200,2000
LTTS_F3,07-09-2023,14:13:00,4654.2002,4654.2002,4654.2002,4654.2002,200,2000
LTTS_F3,07-09-2023,15:06:00,4631.3999,4631.3999,4631.3999,4631.3999,200,2000
LTTS_F3,07-09-2023,15:08:00,4631.0,4631.0,4631.0,4631.0,200,2000
LTTS_F3,07-09-2023,15:17:00,4631.0,4631.0,4631.0,4631.0,200,2000
LTTS_F3,08-09-2023,10:14:00,4635.5,4635.5,4635.5,4635.5,201,1800
LTTS_F3,08-09-2023,12:30:00,4635.5,4635.5,4635.5,4635.5,200,1800
LTTS_F3,11-09-2023,14:30:00,4644.2002,4644.2002,4644.2002,4644.2002,201,1800
LTTS_F3,11-09-2023,15:22:00,4655.8501,4655.8501,4655.8501,4655.8501,200,1800
LTTS_F3,12-09-2023,11:49:00,4680.0,4680.0,4680.0,4680.0,401,2000
LTTS_F3,12-09-2023,12:08:00,4670.0,4670.0,4670.0,4670.0,200,2200
LTTS_F3,12-09-2023,12:26:00,4655.0,4655.0,4655.0,4655.0,200,2400
LTTS_F3,12-09-2023,14:03:00,4651.1001,4651.1001,4651.1001,4651.1001,200,2400
LTTS_F3,13-09-2023,09:31:00,4630.0,4630.0,4630.0,4630.0,201,2600
LTTS_F3,13-09-2023,09:40:00,4580.0,4580.0,4580.0,4580.0,200,2800
LTTS_F3,13-09-2023,09:54:00,4580.0,4580.0,4580.0,4580.0,200,2800
LTTS_F3,13-09-2023,10:37:00,4580.0,4580.0,4580.0,4580.0,200,3000
LTTS_F3,13-09-2023,11:48:00,4599.9502,4599.9502,4599.9502,4599.9502,200,3200
LTTS_F3,13-09-2023,12:27:00,4605.7998,4605.7998,4605.7998,4605.7998,1200,3400
LTTS_F3,13-09-2023,13:11:00,4609.0498,4609.0498,4609.0498,4609.0498,400,3800
LTTS_F3,13-09-2023,14:51:00,4621.1001,4621.1001,4621.1001,4621.1001,400,3400
LTTS_F3,14-09-2023,10:11:00,4705.0,4705.0,4705.0,4705.0,401,3400
LTTS_F3,14-09-2023,10:12:00,4705.0,4705.0,4701.2998,4701.2998,800,3200
LTTS_F3,14-09-2023,10:15:00,4689.8501,4689.8501,4689.8501,4689.8501,200,4000
LTTS_F3,14-09-2023,10:16:00,4686.0498,4686.0498,4686.0498,4686.0498,200,4000
LTTS_F3,14-09-2023,10:22:00,4670.5,4670.5,4670.5,4670.5,200,4400
LTTS_F3,14-09-2023,10:59:00,4670.5,4670.5,4670.5,4670.5,200,4200
LTTS_F3,14-09-2023,11:01:00,4694.8999,4694.8999,4694.8999,4694.8999,200,4200
LTTS_F3,14-09-2023,11:23:00,4724.0,4724.0,4724.0,4724.0,200,4200
LTTS_F3,14-09-2023,11:55:00,4732.0,4732.0,4732.0,4732.0,200,4000
LTTS_F3,14-09-2023,11:56:00,4732.0,4732.0,4732.0,4732.0,200,4000
LTTS_F3,14-09-2023,12:07:00,4738.1001,4738.1001,4738.1001,4738.1001,400,4200
LTTS_F3,14-09-2023,12:28:00,4738.1001,4738.1001,4738.1001,4738.1001,200,4200
LTTS_F3,14-09-2023,12:36:00,4701.0498,4701.0498,4701.0498,4701.0498,200,4200
LTTS_F3,14-09-2023,14:59:00,4724.0,4724.0,4724.0,4724.0,200,4200
LTTS_F3,15-09-2023,09:20:00,4724.0,4724.0,4724.0,4724.0,400,4400
LTTS_F3,15-09-2023,09:21:00,4750.0,4750.0,4750.0,4750.0,200,4400
LTTS_F3,15-09-2023,09:59:00,4750.0,4750.0,4750.0,4750.0,200,4600
LTTS_F3,15-09-2023,10:06:00,4740.0,4740.0,4740.0,4740.0,200,4600
LTTS_F3,15-09-2023,10:22:00,4750.0,4750.0,4750.0,4750.0,200,4600
LTTS_F3,15-09-2023,10:45:00,4740.0,4740.0,4735.0,4735.0,400,4800
LTTS_F3,15-09-2023,11:10:00,4747.6001,4747.6001,4747.6001,4747.6001,200,5000
LTTS_F3,15-09-2023,12:00:00,4762.0,4762.0,4762.0,4762.0,800,5200
LTTS_F3,15-09-2023,12:14:00,4746.0498,4746.0498,4746.0498,4746.0498,200,5600
LTTS_F3,15-09-2023,13:31:00,4750.0,4750.0,4750.0,4750.0,200,5800
LTTS_F3,15-09-2023,13:55:00,4700.0,4700.0,4700.0,4700.0,200,6000
LTTS_F3,15-09-2023,14:24:00,4685.0,4685.0,4685.0,4685.0,200,6200
LTTS_F3,15-09-2023,15:29:00,4711.8999,4711.8999,4711.8999,4711.8999,200,6000
LTTS_F3,18-09-2023,09:26:00,4670.0,4670.0,4670.0,4670.0,201,6000
LTTS_F3,18-09-2023,09:34:00,4695.0498,4695.0498,4695.0498,4695.0498,200,6200
LTTS_F3,18-09-2023,09:44:00,4695.0498,4695.0498,4695.0498,4695.0498,200,6200
LTTS_F3,18-09-2023,09:46:00,4680.0,4680.0,4680.0,4680.0,200,6200
LTTS_F3,18-09-2023,10:30:00,4697.3999,4697.3999,4697.3999,4697.3999,1000,6400
LTTS_F3,20-09-2023,11:17:00,4630.0,4630.0,4630.0,4630.0,201,7200
LTTS_F3,20-09-2023,11:40:00,4620.0,4620.0,4620.0,4620.0,200,7000
LTTS_F3,20-09-2023,12:12:00,4620.0,4620.0,4620.0,4620.0,200,7000
LTTS_F3,21-09-2023,11:49:00,4608.1001,4620.2998,4608.1001,4620.2998,602,6800
LTTS_F3,21-09-2023,11:55:00,4605.0,4605.0,4605.0,4605.0,200,7400
LTTS_F3,21-09-2023,11:56:00,4605.0,4605.0,4605.0,4605.0,200,7400
LTTS_F3,21-09-2023,12:03:00,4605.0,4605.0,4605.0,4605.0,200,7800
LTTS_F3,21-09-2023,12:16:00,4600.0,4600.0,4600.0,4600.0,200,8000
LTTS_F3,21-09-2023,12:19:00,4600.0,4600.0,4600.0,4600.0,200,8200
LTTS_F3,21-09-2023,12:27:00,4598.25,4598.25,4598.25,4598.25,200,8400
LTTS_F3,21-09-2023,13:01:00,4598.25,4598.25,4598.25,4598.25,200,8400
LTTS_F3,21-09-2023,14:20:00,4648.0,4648.0,4648.0,4648.0,200,8600
LTTS_F3,21-09-2023,15:06:00,4648.0,4648.0,4648.0,4648.0,200,8800
LTTS_F3,22-09-2023,09:41:00,4620.0,4620.0,4620.0,4620.0,201,8800
LTTS_F3,22-09-2023,09:50:00,4611.3999,4611.3999,4611.3999,4611.3999,200,9000
LTTS_F3,22-09-2023,09:51:00,4611.3999,4611.3999,4611.3999,4611.3999,600,9000
LTTS_F3,22-09-2023,10:22:00,4614.7002,4614.7002,4614.7002,4614.7002,400,9400
LTTS_F3,22-09-2023,10:36:00,4613.0,4613.0,4613.0,4613.0,200,9600
LTTS_F3,22-09-2023,13:11:00,4657.0,4657.0,4657.0,4657.0,400,9800
LTTS_F3,22-09-2023,13:13:00,4657.0,4657.0,4657.0,4657.0,200,10200
LTTS_F3,22-09-2023,13:52:00,4657.0,4657.0,4657.0,4657.0,200,10200
LTTS_F3,22-09-2023,14:00:00,4630.0,4630.0,4630.0,4630.0,200,10400
LTTS_F3,22-09-2023,15:14:00,4620.0,4620.0,4620.0,4620.0,200,10400
LTTS_F3,25-09-2023,09:19:00,4627.1001,4627.3501,4627.1001,4627.3501,802,10600
LTTS_F3,25-09-2023,09:20:00,4627.5,4627.5,4627.5,4627.5,400,10600
LTTS_F3,25-09-2023,09:52:00,4648.0,4648.0,4648.0,4648.0,200,10800
