<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> 
RELIANCE_F2,01-09-2023,09:15:00,2439.3501,2439.3999,2432.3,2439.1499,2002,768250
RELIANCE_F2,01-09-2023,09:16:00,2442.25,2450.3,2442.25,2445.45,9000,768250
RELIANCE_F2,01-09-2023,09:17:00,2445.55,2447.55,2443.05,2443.05,3500,773750
RELIANCE_F2,01-09-2023,09:18:00,2447.0,2447.0,2442.75,2442.75,5000,773750
RELIANCE_F2,01-09-2023,09:19:00,2444.2,2445.95,2444.05,2445.3999,1750,773750
RELIANCE_F2,01-09-2023,09:20:00,2444.25,2444.45,2444.25,2444.45,2250,780250
RELIANCE_F2,01-09-2023,09:21:00,2444.8999,2446.0,2442.0,2442.0,2250,780250
RELIANCE_F2,01-09-2023,09:22:00,2441.95,2442.75,2441.25,2442.3999,1750,780250
RELIANCE_F2,01-09-2023,09:23:00,2441.5,2442.0,2441.5,2441.5,2750,782500
RELIANCE_F2,01-09-2023,09:24:00,2442.45,2442.6001,2441.0,2442.3999,2250,782500
RELIANCE_F2,01-09-2023,09:25:00,2442.6001,2442.6001,2441.5,2441.5,500,782500
RELIANCE_F2,01-09-2023,09:26:00,2440.05,2440.05,2440.05,2440.05,250,782500
RELIANCE_F2,01-09-2023,09:27:00,2439.1001,2439.55,2438.55,2439.55,750,784750
RELIANCE_F2,01-09-2023,09:28:00,2440.2,2442.0,2440.2,2442.0,1000,784750
RELIANCE_F2,01-09-2023,09:30:00,2439.3501,2450.3,2432.3,2442.0,105006,784750
RELIANCE_F2,01-09-2023,09:31:00,2445.5,2445.5,2445.0,2445.0,500,785500
RELIANCE_F2,01-09-2023,09:32:00,2445.6001,2446.0,2444.2,2444.2,1500,786500
RELIANCE_F2,01-09-2023,09:33:00,2445.3999,2445.3999,2444.1001,2444.1001,750,786500
RELIANCE_F2,01-09-2023,09:34:00,2444.25,2444.25,2444.25,2444.25,500,786500
RELIANCE_F2,01-09-2023,09:35:00,2445.0,2445.0,2444.75,2444.75,750,787250
RELIANCE_F2,01-09-2023,09:36:00,2444.0,2444.0,2444.0,2444.0,1250,787250
RELIANCE_F2,01-09-2023,09:37:00,2445.0,2445.2,2445.0,2445.2,500,787250
RELIANCE_F2,01-09-2023,09:38:00,2446.0,2446.5,2446.0,2446.45,1500,787250
RELIANCE_F2,01-09-2023,09:39:00,2445.1499,2447.0,2445.1499,2446.25,1000,788000
RELIANCE_F2,01-09-2023,09:40:00,2446.8501,2447.6001,2446.5,2447.6001,1750,788000
RELIANCE_F2,01-09-2023,09:42:00,2448.0,2449.5,2448.0,2448.3999,1500,787500
RELIANCE_F2,01-09-2023,09:43:00,2448.45,2450.0,2448.45,2449.6499,1500,787500
RELIANCE_F2,01-09-2023,09:44:00,2448.8,2448.8,2448.8,2448.8,750,789500
RELIANCE_F2,01-09-2023,09:45:00,2449.6499,2454.05,2449.6499,2454.05,3250,789500
RELIANCE_F2,01-09-2023,09:46:00,2453.2,2456.6001,2452.8999,2456.6001,11250,789500
RELIANCE_F2,01-09-2023,09:47:00,2453.0,2456.05,2453.0,2456.05,1250,798000
RELIANCE_F2,01-09-2023,09:48:00,2455.8999,2457.0,2455.8999,2457.0,1750,798000
RELIANCE_F2,01-09-2023,09:49:00,2457.0,2457.0,2455.8999,2455.8999,1500,798000
RELIANCE_F2,01-09-2023,09:50:00,2456.0,2456.0,2455.0,2455.5,1000,797250
RELIANCE_F2,01-09-2023,09:51:00,2455.5,2455.5,2452.8999,2452.8999,1000,797250
RELIANCE_F2,01-09-2023,09:52:00,2451.7,2451.7,2449.3,2449.3,1250,797250
RELIANCE_F2,01-09-2023,09:53:00,2450.0,2450.0,2450.0,2450.0,1500,796750
RELIANCE_F2,01-09-2023,09:54:00,2451.8501,2451.8501,2451.0,2451.0,2250,796750
